Title,Description,Keywords,sclid1,sclmin1,sclmax1,pairs1,n1,sclid2,sclmin2,sclmax2,pairs2,n2,sclid3,sclmin3,sclmax3,pairs3,n3,Answer.Answer.sclid1.1,Answer.Answer.sclid1.10,Answer.Answer.sclid1.11,Answer.Answer.sclid1.12,Answer.Answer.sclid1.13,Answer.Answer.sclid1.14,Answer.Answer.sclid1.15,Answer.Answer.sclid1.16,Answer.Answer.sclid1.17,Answer.Answer.sclid1.18,Answer.Answer.sclid1.19,Answer.Answer.sclid1.2,Answer.Answer.sclid1.20,Answer.Answer.sclid1.21,Answer.Answer.sclid1.22,Answer.Answer.sclid1.23,Answer.Answer.sclid1.24,Answer.Answer.sclid1.25,Answer.Answer.sclid1.26,Answer.Answer.sclid1.27,Answer.Answer.sclid1.28,Answer.Answer.sclid1.3,Answer.Answer.sclid1.4,Answer.Answer.sclid1.5,Answer.Answer.sclid1.6,Answer.Answer.sclid1.7,Answer.Answer.sclid1.8,Answer.Answer.sclid1.9,Answer.Answer.sclid2.1,Answer.Answer.sclid2.10,Answer.Answer.sclid2.11,Answer.Answer.sclid2.12,Answer.Answer.sclid2.13,Answer.Answer.sclid2.14,Answer.Answer.sclid2.15,Answer.Answer.sclid2.2,Answer.Answer.sclid2.3,Answer.Answer.sclid2.4,Answer.Answer.sclid2.5,Answer.Answer.sclid2.6,Answer.Answer.sclid2.7,Answer.Answer.sclid2.8,Answer.Answer.sclid2.9,Answer.Answer.sclid3.1,Answer.Answer.sclid3.2,Answer.Answer.sclid3.3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",proficient-trainedXX,proficient,trained,qualified XXX skilled ||| proficient XXX skilled ||| proficient XXX qualified ||| capable XXX skilled ||| capable XXX qualified ||| capable XXX proficient,6,beneficial-niceXX,beneficial,nice,marvelous XXX terrific ||| marvelous XXX okay ||| awesome XXX terrific ||| awesome XXX marvelous ||| awesome XXX okay ||| awesome XXX incredible ||| okay XXX terrific ||| incredible XXX terrific ||| incredible XXX marvelous ||| incredible XXX okay,10,bright-brightestXX,bright,brightest,bright XXX brighter ||| bright XXX brightest ||| brighter XXX brightest,3,qualified**GT**skilled,,,,,,,,,,,proficient**GT**skilled,,,,,,,,,,proficient**LT**qualified,capable**LT**skilled,capable**LT**qualified,capable**LT**proficient,,,,marvelous**GT**terrific,incredible**GT**okay,,,,,,marvelous**GT**okay,awesome**EQ**terrific,awesome**EQ**marvelous,awesome**GT**okay,awesome**LT**incredible,okay**LT**terrific,incredible**EQ**terrific,incredible**EQ**marvelous,bright**LT**brighter,bright**LT**brightest,brighter**LT**brightest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",proficient-trainedXX,proficient,trained,qualified XXX skilled ||| proficient XXX skilled ||| proficient XXX qualified ||| capable XXX skilled ||| capable XXX qualified ||| capable XXX proficient,6,beneficial-niceXX,beneficial,nice,marvelous XXX terrific ||| marvelous XXX okay ||| awesome XXX terrific ||| awesome XXX marvelous ||| awesome XXX okay ||| awesome XXX incredible ||| okay XXX terrific ||| incredible XXX terrific ||| incredible XXX marvelous ||| incredible XXX okay,10,bright-brightestXX,bright,brightest,bright XXX brighter ||| bright XXX brightest ||| brighter XXX brightest,3,qualified**EQ**skilled,,,,,,,,,,,proficient**EQ**skilled,,,,,,,,,,proficient**EQ**qualified,capable**LT**skilled,capable**LT**qualified,capable**EQ**proficient,,,,marvelous**GT**terrific,incredible**GT**okay,,,,,,marvelous**GT**okay,awesome**LT**terrific,awesome**LT**marvelous,awesome**GT**okay,awesome**LT**incredible,okay**LT**terrific,incredible**GT**terrific,incredible**EQ**marvelous,bright**LT**brighter,bright**LT**brightest,brighter**LT**brightest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",proficient-trainedXX,proficient,trained,qualified XXX skilled ||| proficient XXX skilled ||| proficient XXX qualified ||| capable XXX skilled ||| capable XXX qualified ||| capable XXX proficient,6,beneficial-niceXX,beneficial,nice,marvelous XXX terrific ||| marvelous XXX okay ||| awesome XXX terrific ||| awesome XXX marvelous ||| awesome XXX okay ||| awesome XXX incredible ||| okay XXX terrific ||| incredible XXX terrific ||| incredible XXX marvelous ||| incredible XXX okay,10,bright-brightestXX,bright,brightest,bright XXX brighter ||| bright XXX brightest ||| brighter XXX brightest,3,qualified**LT**skilled,,,,,,,,,,,proficient**LT**skilled,,,,,,,,,,proficient**LT**qualified,capable**LT**skilled,capable**LT**qualified,capable**EQ**proficient,,,,marvelous**GT**terrific,incredible**GT**okay,,,,,,marvelous**GT**okay,awesome**GT**terrific,awesome**GT**marvelous,awesome**GT**okay,awesome**LT**incredible,okay**LT**terrific,incredible**GT**terrific,incredible**GT**marvelous,bright**LT**brighter,bright**LT**brightest,brighter**LT**brightest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",proficient-trainedXX,proficient,trained,qualified XXX skilled ||| proficient XXX skilled ||| proficient XXX qualified ||| capable XXX skilled ||| capable XXX qualified ||| capable XXX proficient,6,beneficial-niceXX,beneficial,nice,marvelous XXX terrific ||| marvelous XXX okay ||| awesome XXX terrific ||| awesome XXX marvelous ||| awesome XXX okay ||| awesome XXX incredible ||| okay XXX terrific ||| incredible XXX terrific ||| incredible XXX marvelous ||| incredible XXX okay,10,bright-brightestXX,bright,brightest,bright XXX brighter ||| bright XXX brightest ||| brighter XXX brightest,3,qualified**LT**skilled,,,,,,,,,,,proficient**GT**skilled,,,,,,,,,,proficient**GT**qualified,capable**LT**skilled,capable**GT**qualified,capable**LT**proficient,,,,marvelous**EQ**terrific,incredible**GT**okay,,,,,,marvelous**GT**okay,awesome**EQ**terrific,awesome**EQ**marvelous,awesome**GT**okay,awesome**LT**incredible,okay**LT**terrific,incredible**EQ**terrific,incredible**EQ**marvelous,bright**LT**brighter,bright**LT**brightest,brighter**LT**brightest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",proficient-trainedXX,proficient,trained,qualified XXX skilled ||| proficient XXX skilled ||| proficient XXX qualified ||| capable XXX skilled ||| capable XXX qualified ||| capable XXX proficient,6,beneficial-niceXX,beneficial,nice,marvelous XXX terrific ||| marvelous XXX okay ||| awesome XXX terrific ||| awesome XXX marvelous ||| awesome XXX okay ||| awesome XXX incredible ||| okay XXX terrific ||| incredible XXX terrific ||| incredible XXX marvelous ||| incredible XXX okay,10,bright-brightestXX,bright,brightest,bright XXX brighter ||| bright XXX brightest ||| brighter XXX brightest,3,qualified**GT**skilled,,,,,,,,,,,proficient**GT**skilled,,,,,,,,,,proficient**LT**qualified,capable**LT**skilled,capable**LT**qualified,capable**LT**proficient,,,,marvelous**GT**terrific,incredible**GT**okay,,,,,,marvelous**GT**okay,awesome**GT**terrific,awesome**LT**marvelous,awesome**GT**okay,awesome**LT**incredible,okay**LT**terrific,incredible**LT**terrific,incredible**LT**marvelous,bright**LT**brighter,bright**LT**brightest,brighter**LT**brightest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",major-staggeringXX,major,staggering,big XXX tremendous ||| big XXX substantial ||| big XXX staggering ||| substantial XXX tremendous ||| staggering XXX tremendous ||| staggering XXX substantial,6,daunting-formidableXX,daunting,formidable,daunting XXX tough ||| daunting XXX formidable ||| formidable XXX tough,3,broad-broadestXX,broad,broadest,broad XXX broader ||| broad XXX broadest ||| broader XXX broadest,3,big**LT**tremendous,,,,,,,,,,,big**LT**substantial,,,,,,,,,,big**LT**staggering,substantial**LT**tremendous,staggering**GT**tremendous,staggering**GT**substantial,,,,daunting**GT**tough,,,,,,,daunting**GT**formidable,formidable**GT**tough,,,,,,,broad**LT**broader,broad**LT**broadest,broader**LT**broadest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",major-staggeringXX,major,staggering,big XXX tremendous ||| big XXX substantial ||| big XXX staggering ||| substantial XXX tremendous ||| staggering XXX tremendous ||| staggering XXX substantial,6,daunting-formidableXX,daunting,formidable,daunting XXX tough ||| daunting XXX formidable ||| formidable XXX tough,3,broad-broadestXX,broad,broadest,broad XXX broader ||| broad XXX broadest ||| broader XXX broadest,3,big**LT**tremendous,,,,,,,,,,,big**LT**substantial,,,,,,,,,,big**LT**staggering,substantial**LT**tremendous,staggering**EQ**tremendous,staggering**GT**substantial,,,,daunting**GT**tough,,,,,,,daunting**GT**formidable,formidable**GT**tough,,,,,,,broad**LT**broader,broad**LT**broadest,broader**LT**broadest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",major-staggeringXX,major,staggering,big XXX tremendous ||| big XXX substantial ||| big XXX staggering ||| substantial XXX tremendous ||| staggering XXX tremendous ||| staggering XXX substantial,6,daunting-formidableXX,daunting,formidable,daunting XXX tough ||| daunting XXX formidable ||| formidable XXX tough,3,broad-broadestXX,broad,broadest,broad XXX broader ||| broad XXX broadest ||| broader XXX broadest,3,big**LT**tremendous,,,,,,,,,,,,,,,,,,,,,big**LT**staggering,substantial**LT**tremendous,staggering**GT**tremendous,staggering**GT**substantial,,,,daunting**GT**tough,,,,,,,daunting**GT**formidable,formidable**GT**tough,,,,,,,broad**LT**broader,broad**LT**broadest,broader**LT**broadest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",major-staggeringXX,major,staggering,big XXX tremendous ||| big XXX substantial ||| big XXX staggering ||| substantial XXX tremendous ||| staggering XXX tremendous ||| staggering XXX substantial,6,daunting-formidableXX,daunting,formidable,daunting XXX tough ||| daunting XXX formidable ||| formidable XXX tough,3,broad-broadestXX,broad,broadest,broad XXX broader ||| broad XXX broadest ||| broader XXX broadest,3,big**LT**tremendous,,,,,,,,,,,big**LT**substantial,,,,,,,,,,big**LT**staggering,substantial**LT**tremendous,staggering**LT**tremendous,staggering**GT**substantial,,,,daunting**GT**tough,,,,,,,daunting**GT**formidable,formidable**LT**tough,,,,,,,broad**LT**broader,broad**LT**broadest,broader**LT**broadest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",major-staggeringXX,major,staggering,big XXX tremendous ||| big XXX substantial ||| big XXX staggering ||| substantial XXX tremendous ||| staggering XXX tremendous ||| staggering XXX substantial,6,daunting-formidableXX,daunting,formidable,daunting XXX tough ||| daunting XXX formidable ||| formidable XXX tough,3,broad-broadestXX,broad,broadest,broad XXX broader ||| broad XXX broadest ||| broader XXX broadest,3,big**LT**tremendous,,,,,,,,,,,big**GT**substantial,,,,,,,,,,big**LT**staggering,substantial**LT**tremendous,staggering**LT**tremendous,staggering**GT**substantial,,,,daunting**LT**tough,,,,,,,daunting**LT**formidable,formidable**EQ**tough,,,,,,,broad**LT**broader,broad**LT**broadest,broader**LT**broadest
