Title,Description,Keywords,word,pos,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,NumSenses
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,5
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,4
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,n,an American spelling of aide,a piece of equipment that helps you to do something,"help in the form of food, money, medical supplies or weapons that is given by a richer country to a poorer country",help or advice given to someone who needs it,help or support,"help, such as money or food, given by an organization to a country or to people who are in a difficult situation",something such as a machine or tool that helps someone do something,used to ask what something is used for or why someone is doing something,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,1
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",aid,v,to help,to help someone do something illegal,to help someone or something by making their situation or what they are doing easier,,,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,2
