Title,Description,Keywords,event0,event1,event2,Answer.q1-obj-use1,Answer.q1-obj-use2,Answer.q1-obj-use3,Answer.q1-obj-use4,Answer.q1-obj1,Answer.q1-obj2,Answer.q1-obj3,Answer.q1-obj4,Answer.q2-obj-use1,Answer.q2-obj-use2,Answer.q2-obj-use3,Answer.q2-obj-use4,Answer.q2-obj1,Answer.q2-obj2,Answer.q2-obj3,Answer.q2-obj4,Answer.q3-obj-use1,Answer.q3-obj-use2,Answer.q3-obj-use3,Answer.q3-obj-use4,Answer.q3-obj1,Answer.q3-obj2,Answer.q3-obj3,Answer.q3-obj4,Answer.req-obj1-na,Answer.req-obj1-sense,Answer.req-obj2-na,Answer.req-obj2-sense,Answer.req-obj3-na,Answer.req-obj3-sense
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX finds grass in PersonX's yard,PersonX destroys toys in hell,PersonX follows PersonX's father 's trail,find,find grass,{},{},plants,a garden,{},{},destroy,ruin,{},{},playthings,blocks,{},{},follow,follow,{},{},a path,a parent,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX produces another book,PersonX puts blankets in the washing machine,PersonX changes hands glove,bring about,be present first,{},{},book,another book,{},{},place in the washing machine,place the blankets in,{},{},blankets,washing machine,{},{},{},{},{},{},{},{},{},{},1.0,1,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX provides evidence in regard,PersonX provides food to persons,PersonX takes coins to the bank,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},bring coins,bring coins,{},{},coin bag,coin package,{},{},0.0,1,,0,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX sells fruit at prices,PersonX visits a park near you,PersonX establishes a fence in areas,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0,0.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX grabs fruit from the fridge,PersonX spends some gas looking,PersonX sets oranges aside,keep refrigerator on and food fresh,be able to grab,keep fruit fresh,{},electricity,fruit in the refrigerator,refrigerator,{},drive around in while using gas,pay for more gas when needed,spend while looking,{},car,money,gasoline,{},set aside,put the oranges,{},{},oranges,specific place,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX guides PersonY's dog into the way,PersonX sees zebra in the wild,PersonX finds the remote under the couch,attach to leash,guide dog's movement,{},{},collar,leash,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX helps pigs a lot,PersonX increases one 's clothing,PersonX guides PersonY's car into the way,{},{},{},{},{},{},{},{},sell,sell,sell,{},Clothes,accessories,outer garments,{},guide,guide,{},{},automobile,vehicle,{},{},0.0,1,,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives skateboard a go,PersonX contacts the rock with water,PersonX keeps the dogs apart,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0,,0,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX helps children with problems,PersonX mixes koolaid together,PersonX watches videos on PersonY's phone,{},{},{},{},{},{},{},{},mix koolaid,mix koolaid,{},{},mixing machine,mixer,{},{},{},{},{},{},{},{},{},{},0.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes cake at the end,PersonX takes the boat out on the lake,PersonX sends horses to the convention,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX manages PersonY's computer in PersonX's way,PersonX takes purse to the mall,PersonX gives the box PersonX's name,{},{},{},{},{},{},{},{},drive to the shopping center,park the vehicle,{},{},car,parking lot,{},{},{},{},{},{},{},{},{},{},,0,1.0,1,0.0,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX pushes open the hatch,PersonX recently saw a dog,PersonX prevents the train from leaving,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX makes meatballs for dinner,PersonX serves the food for years,PersonX takes a taxi to the dog park,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts phone in PersonY's hands,PersonX receives the scar from the hands,PersonX buys every tomato,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},buy tomato,buy tomato,{},{},Money,coins,{},{},0.0,1,,0,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives everyone a card,PersonX bestows upon PersonY the scepter,PersonX sells PersonX's table at the price,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},buy table,buy table,{},{},money,coins,{},{},0.0,1,,0,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX kisses the cat on the cheek,PersonX arrives home from work,PersonX holds another dog,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX strains every soup,PersonX posts book on fb,PersonX beats back the wall,separate solids from liquid soup,hold the soup,{},{},strainer,pot,{},{},access social media,to type out message,{},{},computer,keyboard,{},{},{},{},{},{},{},{},{},{},1.0,1,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX uses the microscope to find,PersonX prevents spider from reaching,PersonX keeps PersonX's horse under control,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},steer the horse,keep the horse docile,{},{},reigns,stirrups,{},{},,0,,0,1.0,1
