Title,Description,Keywords,pairID1,premise1,hypothesis1,gold_label1,partial_neutral_entailment1,entailment_count1,neutral_count1,contradiction_count1,pairID2,premise2,hypothesis2,gold_label2,partial_neutral_entailment2,entailment_count2,neutral_count2,contradiction_count2,Answer.Attenuator1_impossible,Answer.Attenuator1_modifier,Answer.Attenuator1_option,Answer.Attenuator1_reason,Answer.Attenuator2_impossible,Answer.Attenuator2_modifier,Answer.Attenuator2_option,Answer.Attenuator2_reason,Answer.Intensifier1_impossible,Answer.Intensifier1_modifier,Answer.Intensifier1_option,Answer.Intensifier1_reason,Answer.Intensifier2_impossible,Answer.Intensifier2_modifier,Answer.Intensifier2_option,Answer.Intensifier2_reason
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",7000016959.jpg#0r1n,Three asian women are watching a man with a blue shirt and jeans do pottery.,Tall humans watching,neutral,False,0,1,0,4936315100.jpg#2r1n,"outside in a courtyard, people are walking by in the nighttime",There are stars in the sky.,neutral,False,0,1,0,,The man is taller than the women.,,{},,The man is wearing a poncho.,,{},,The women are taller than the man.,,{},,The man is holding a telescope kit.,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",7000016959.jpg#0r1n,Three asian women are watching a man with a blue shirt and jeans do pottery.,Tall humans watching,neutral,False,0,1,0,4936315100.jpg#2r1n,"outside in a courtyard, people are walking by in the nighttime",There are stars in the sky.,neutral,False,0,1,0,,The women have to look up to look at the man’s face,,{},,People are carrying umbrellas to shield from the rain,,{},,The women have size 15 shoes,,{},,Not a cloud is seen in the sky,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",7000016959.jpg#0r1n,Three asian women are watching a man with a blue shirt and jeans do pottery.,Tall humans watching,neutral,False,0,1,0,4936315100.jpg#2r1n,"outside in a courtyard, people are walking by in the nighttime",There are stars in the sky.,neutral,False,0,1,0,,They strain on their tiptoes to see.,,{},,The clouds provide an eerie pitch black light.,,{},,They easily look over the heads of the people in front of them.,,{},,The people find the big dipper and point it out to the others.,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",7000016959.jpg#0r1n,Three asian women are watching a man with a blue shirt and jeans do pottery.,Tall humans watching,neutral,False,0,1,0,4936315100.jpg#2r1n,"outside in a courtyard, people are walking by in the nighttime",There are stars in the sky.,neutral,False,0,1,0,,The women are nearly the same height as the seated man.,,{},,The sky is overcast and blocking the stars.,,{},,The women are taller than the standing man.,,{},,The stars twinkle brightly across the entire night sky.,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",7000016959.jpg#0r1n,Three asian women are watching a man with a blue shirt and jeans do pottery.,Tall humans watching,neutral,False,0,1,0,4936315100.jpg#2r1n,"outside in a courtyard, people are walking by in the nighttime",There are stars in the sky.,neutral,False,0,1,0,,The people watching are very short in stature.,,{},,The sky above them is cloudy and overcast.,,{},,The people watching tower over the scenery.,,{},,The sky above them is dotted with bright stars.,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5957177594.jpg#4r2n,A man is jumping over a pole like a hurdle.,A man is jumping over a tall pole,neutral,False,0,1,0,2865376471.jpg#2r1n,Two large dogs greet other while their owners watch.,the dogs talk in their own language,neutral,False,0,1,0,,A man is jumping over a short rod.,,{},,Dogs are just smelling each other's scent.,,{},,A man is jumping over a tall pole to repair the TV cable wires.,,{},,"Dogs talk in their own language through movement, posture, barking, eye contact, growling and tail wagging.",,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5957177594.jpg#4r2n,A man is jumping over a pole like a hurdle.,A man is jumping over a tall pole,neutral,False,0,1,0,2865376471.jpg#2r1n,Two large dogs greet other while their owners watch.,the dogs talk in their own language,neutral,False,0,1,0,,The man is warming up at the beginning of his workout.,,{},,The dogs aren't very interested in each other.,,{},,The man is stretching his limits.,,{},,The dogs are sniffing each other's butts.,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5957177594.jpg#4r2n,A man is jumping over a pole like a hurdle.,A man is jumping over a tall pole,neutral,False,0,1,0,2865376471.jpg#2r1n,Two large dogs greet other while their owners watch.,the dogs talk in their own language,neutral,False,0,1,0,,He only had to jump about a foot.,,{},,The dogs get into a fight.,,{},,He had to jump very high.,,{},,The dogs whine and bark and sniff each other.,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5957177594.jpg#4r2n,A man is jumping over a pole like a hurdle.,A man is jumping over a tall pole,neutral,False,0,1,0,2865376471.jpg#2r1n,Two large dogs greet other while their owners watch.,the dogs talk in their own language,neutral,False,0,1,0,,The pole is 2 feet off the ground.,,{},,The dogs mouths are closed.,,{},,The pole is 5 feet off the ground.,,{},,The dogs are barking at each other.,,{}
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5957177594.jpg#4r2n,A man is jumping over a pole like a hurdle.,A man is jumping over a tall pole,neutral,False,0,1,0,2865376471.jpg#2r1n,Two large dogs greet other while their owners watch.,the dogs talk in their own language,neutral,False,0,1,0,,"Someone watching snickers sarcastically, 'Gee, that's tough'",,{},,One of the owners comments 'Too bad they can't talk',,{},,"A spectator comments 'Wow, amazing!'",,{},,"As the dogs emit noises, one of the owners says 'Too bad we'll never understand them'",,{}
