Title,Description,Keywords,img_id,question,answer,rationale,img_fn,metadata_fn,model_name,NOUN1,NOUN2,NOUN3,NOUN4,NOUN5,NOUN6,NOUN7,NOUN8,NOUN9,NOUNPHRASE1,NOUNPHRASE2,NOUNPHRASE3,NOUNPHRASE4,NOUNPHRASE5,VERB1,VERB2,VERB3,VERB4,VERB5,VERB6
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460183,Why is there a knife in the picture?,to cut cake,A man is cutting into a cake with a knife.,COCO_val2014_000000460183.jpg,-,vqa_textual_viscomet_q_a_to_r,cake,man,knife,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000363887,Is one truck blocking the other?,no,A truck is parked on the side of the road.,COCO_val2014_000000363887.jpg,-,vqa_embeddings_viscomet_q_a_to_r,truck,road,side,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371364,How many people are there?,3,Three people are sitting on a bench in a park.,COCO_val2014_000000371364.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,park,people,-,-,-,-,-,-,three people,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460567,Why are the animals here?,water,A herd of elephants are in the water.,COCO_val2014_000000460567.jpg,-,vqa_textual_viscomet_q_a_to_r,herd,elephants,water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371555,What is the woman reading?,newspaper,A woman sitting on a bench reading a newspaper.,COCO_val2014_000000371555.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,woman,newspaper,-,-,-,-,-,-,-,-,-,-,-,reading newspaper,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461692,What color is the toilet seat?,white,A white toilet sitting next to a bath tub.,COCO_val2014_000000461692.jpg,-,vqa_textual_viscomet_q_a_to_r,tub,toilet,-,-,-,-,-,-,-,white toilet,bath tub,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461774,What are the zebras standing on?,grass,A group of zebras standing in the grass.,COCO_val2014_000000461774.jpg,-,vqa_textual_viscomet_q_a_to_r,zebras,grass,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train pulling away from the station?,no,A train is coming down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train moving?,yes,A train is traveling down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000000589,What time of day is it?,night,A clock tower is lit up at night.,COCO_val2014_000000000589.jpg,-,vqa_textual_viscomet_q_a_to_r,night,tower,-,-,-,-,-,-,-,clock tower,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000464366,What is this sport?,baseball,A baseball player is getting ready to hit the ball.,COCO_val2014_000000464366.jpg,-,vqa_textual_viscomet_q_a_to_r,ball,player,-,-,-,-,-,-,-,baseball player,-,-,-,-,to hit ball,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000377080,Is the water moving?,yes,A man is surfing in the ocean on a wave.,COCO_val2014_000000377080.jpg,-,vqa_embeddings_viscomet_q_a_to_r,ocean,man,wave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000465591,What is on top of the toilet seat with lots of colors?,cat,A cat is sitting on top of a toilet in a bathroom.,COCO_val2014_000000465591.jpg,-,vqa_textual_viscomet_q_a_to_r,bathroom,toilet,cat,top,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000004093,What does the yellow sign say?,tri-city fence company,"A sign that reads ""Trap City Fence Company"" on a pole.",COCO_val2014_000000004093.jpg,-,vqa_textual_viscomet_q_a_to_r,sign,pole,company,-,-,-,-,-,-,"""trap city fence company",-,-,-,-,reads company,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000470780,Is there something inside the oven?,no,A woman is standing in the kitchen with a pizza.,COCO_val2014_000000470780.jpg,-,vqa_textual_viscomet_q_a_to_r,kitchen,woman,pizza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000388299,Where is the baby holding a stuffed animal?,sofa,A baby is sitting on a couch holding a stuffed animal.,COCO_val2014_000000388299.jpg,-,vqa_embeddings_viscomet_q_a_to_r,couch,animal,baby,-,-,-,-,-,-,stuffed animal,-,-,-,-,holding animal,-,-,-,-,-
