Title,Description,Keywords,sclid1,sclmin1,sclmax1,pairs1,n1,sclid2,sclmin2,sclmax2,pairs2,n2,sclid3,sclmin3,sclmax3,pairs3,n3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXseductive-unseductive,unseductive,seductive,seductive XXX sexy ||| attractive XXX sexy ||| attractive XXX seductive,3,possible-impossibleXX,possible,impossible,infeasible XXX unrealistic ||| impractical XXX unrealistic ||| impractical XXX infeasible ||| impracticable XXX unrealistic ||| impracticable XXX infeasible ||| impracticable XXX impractical ||| impossible XXX unrealistic ||| impossible XXX infeasible ||| impossible XXX impractical ||| impossible XXX impracticable,10,old-oldestXX,old,oldest,old XXX older ||| old XXX oldest ||| older XXX oldest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXlike-unlike,unlike,like,like XXX same ||| equal XXX like ||| equal XXX same,3,national-internationalXX,national,international,global XXX transnational ||| global XXX international ||| international XXX transnational,3,hard-hardestXX,hard,hardest,hard XXX harder ||| hard XXX hardest ||| harder XXX hardest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXattractive-unattractive,unattractive,attractive,beautiful XXX seductive ||| beautiful XXX mesmerizing ||| attractive XXX beautiful ||| attractive XXX seductive ||| attractive XXX mesmerizing ||| mesmerizing XXX seductive,6,mild-intenseXX,mild,intense,overwhelming XXX strong ||| overwhelming XXX violent ||| overwhelming XXX terrible ||| strong XXX violent ||| strong XXX terrible ||| intense XXX overwhelming ||| intense XXX strong ||| intense XXX violent ||| intense XXX terrible ||| terrible XXX violent,10,grave-gravestXX,grave,gravest,grave XXX graver ||| grave XXX gravest ||| graver XXX gravest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",common-uncommonXX,common,uncommon,extraordinary XXX unusual ||| extraordinary XXX rare ||| extraordinary XXX uncommon ||| rare XXX unusual ||| rare XXX uncommon ||| uncommon XXX unusual ||| exceptional XXX extraordinary ||| exceptional XXX unusual ||| exceptional XXX rare ||| exceptional XXX uncommon,10,XXaware-incognizant,incognizant,aware,aware XXX conscious ||| awake XXX aware ||| awake XXX conscious ||| alive XXX aware ||| alive XXX awake ||| alive XXX conscious,6,dark-darkestXX,dark,darkest,dark XXX darker ||| dark XXX darkest ||| darker XXX darkest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",fit-unfitXX,fit,unfit,disabled XXX impaired ||| disabled XXX ill ||| disabled XXX sick ||| impaired XXX sick ||| ill XXX impaired ||| ill XXX sick,6,XXpossible-impossible,impossible,possible,practical XXX realistic ||| possible XXX practical ||| possible XXX realistic ||| feasible XXX practical ||| feasible XXX realistic ||| feasible XXX possible,6,cool-coolestXX,cool,coolest,cool XXX cooler ||| cool XXX coolest ||| cooler XXX coolest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",attractive-unattractiveXX,attractive,unattractive,plain XXX unattractive ||| plain XXX ugly ||| ugly XXX unattractive,3,XXthick-thin,thin,thick,dense XXX thick ||| dense XXX impenetrable ||| impenetrable XXX thick,3,fair-fairestXX,fair,fairest,fair XXX fairer ||| fair XXX fairest ||| fairer XXX fairest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",superior-inferiorXX,superior,inferior,mediocre XXX worst ||| cheap XXX worst ||| cheap XXX mediocre ||| bad XXX worst ||| bad XXX mediocre ||| bad XXX cheap,6,XXmany-few,few,many,many XXX numerous ||| many XXX some ||| numerous XXX some ||| galore XXX many ||| galore XXX numerous ||| galore XXX some,6,great-greatestXX,great,greatest,great XXX greater ||| great XXX greatest ||| greater XXX greatest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXalarming-unalarming,unalarming,alarming,scary XXX sinister ||| scary XXX terrifying ||| sinister XXX terrifying ||| frightening XXX scary ||| frightening XXX sinister ||| frightening XXX terrifying ||| creepy XXX scary ||| creepy XXX sinister ||| creepy XXX frightening ||| creepy XXX terrifying,10,current-noncurrentXX,current,noncurrent,old XXX outdated ||| obsolete XXX outdated ||| obsolete XXX old,3,healthy-healthiestXX,healthy,healthiest,healthier XXX healthiest ||| healthier XXX healthy ||| healthiest XXX healthy,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",audible-inaudibleXX,audible,inaudible,imperceptible XXX inaudible ||| imperceptible XXX quiet ||| imperceptible XXX silent ||| inaudible XXX quiet ||| inaudible XXX silent ||| quiet XXX silent,6,cardinal-ordinalXX,cardinal,ordinal,second XXX third ||| second XXX sixth ||| second XXX seventh ||| fourth XXX second ||| fourth XXX third ||| fourth XXX sixth ||| fourth XXX seventh ||| sixth XXX third ||| seventh XXX third ||| seventh XXX sixth ||| eighth XXX second ||| eighth XXX third ||| eighth XXX fourth ||| eighth XXX sixth ||| eighth XXX seventh ||| eighth XXX fifth ||| eighth XXX first ||| fifth XXX second ||| fifth XXX third ||| fifth XXX fourth ||| fifth XXX sixth ||| fifth XXX seventh ||| fifth XXX first ||| first XXX second ||| first XXX third ||| first XXX fourth ||| first XXX sixth ||| first XXX seventh,28,heavy-heaviestXX,heavy,heaviest,heavier XXX heaviest ||| heavier XXX heavy ||| heaviest XXX heavy,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",honest-dishonestXX,honest,dishonest,false XXX fraudulent ||| false XXX misleading ||| fraudulent XXX misleading ||| deceptive XXX false ||| deceptive XXX fraudulent ||| deceptive XXX misleading,6,big-littleXX,big,little,micro XXX smaller ||| micro XXX midget ||| micro XXX tiny ||| micro XXX small ||| micro XXX microscopic ||| micro XXX minuscule ||| micro XXX minute ||| smaller XXX tiny ||| midget XXX smaller ||| midget XXX tiny ||| midget XXX small ||| midget XXX minuscule ||| midget XXX minute ||| small XXX smaller ||| small XXX tiny ||| microscopic XXX smaller ||| microscopic XXX midget ||| microscopic XXX tiny ||| microscopic XXX small ||| microscopic XXX minuscule ||| microscopic XXX minute ||| minuscule XXX smaller ||| minuscule XXX tiny ||| minuscule XXX small ||| minuscule XXX minute ||| minute XXX smaller ||| minute XXX tiny ||| minute XXX small,28,large-largestXX,large,largest,large XXX larger ||| large XXX largest ||| larger XXX largest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXstrange-familiar,familiar,strange,funny XXX unusual ||| funny XXX strange ||| funny XXX weird ||| unusual XXX weird ||| strange XXX unusual ||| strange XXX weird ||| eerie XXX funny ||| eerie XXX unusual ||| eerie XXX strange ||| eerie XXX weird,10,XXtasty-tasteless,tasteless,tasty,spicy XXX zesty ||| flavorful XXX zesty ||| flavorful XXX spicy ||| flavorful XXX hot ||| hot XXX zesty ||| hot XXX spicy,6,long-longestXX,long,longest,long XXX longer ||| long XXX longest ||| longer XXX longest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXsugary-nonsweet,nonsweet,sugary,sweet XXX syrupy ||| sugary XXX sweet ||| sugary XXX syrupy,3,safe-dangerousXX,safe,dangerous,risky XXX unreliable ||| risky XXX suicidal ||| suicidal XXX unreliable ||| dangerous XXX unreliable ||| dangerous XXX risky ||| dangerous XXX suicidal,6,dense-densestXX,dense,densest,dense XXX denser ||| dense XXX densest ||| denser XXX densest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",hopeful-hopelessXX,hopeful,hopeless,bleak XXX desperate ||| bleak XXX hopeless ||| desperate XXX hopeless,3,distant-closeXX,distant,close,close XXX near ||| close XXX intimate ||| intimate XXX near,3,deep-deepestXX,deep,deepest,deep XXX deeper ||| deep XXX deepest ||| deeper XXX deepest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",hot-cold2XX,hot,cold2,frozen XXX icy ||| cold XXX frozen ||| cold XXX icy ||| cold XXX frigid ||| cold XXX cool ||| frigid XXX frozen ||| frigid XXX icy ||| cool XXX frozen ||| cool XXX icy ||| cool XXX frigid,10,friendly-unfriendlyXX,friendly,unfriendly,chilly XXX unfriendly ||| chilly XXX hostile ||| chilly XXX cool ||| hostile XXX unfriendly ||| cool XXX unfriendly ||| cool XXX hostile,6,dry-driestXX,dry,driest,drier XXX driest ||| drier XXX dry ||| driest XXX dry,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXsatisfactory-unsatisfactory,unsatisfactory,satisfactory,alright XXX right ||| alright XXX okay ||| acceptable XXX alright ||| acceptable XXX right ||| acceptable XXX okay ||| okay XXX right,6,XXavailable-unavailable,unavailable,available,available XXX visible ||| accessible XXX available ||| accessible XXX visible,3,fast-fastestXX,fast,fastest,fast XXX faster ||| fast XXX fastest ||| faster XXX fastest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXgeneral-specific,specific,general,broad XXX widespread ||| broad XXX universal ||| broad XXX general ||| universal XXX widespread ||| general XXX widespread ||| general XXX universal,6,clean-dirtyXX,clean,dirty,obscene XXX profane ||| indecent XXX obscene ||| indecent XXX profane,3,happy-happiestXX,happy,happiest,happier XXX happiest ||| happier XXX happy ||| happiest XXX happy,3
