Unnamed: 0,Title,Description,Keywords
0,Tell us an Arabic nickname written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name"
1,Tell us an Arabic nickname written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name"
2,Tell us an Arabic nickname written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name"
3,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????"
4,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????"
5,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????"
6,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????"
7,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????"
8,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????"
9,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????"
