Title,Description,Keywords,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",भौगोलिक स्थिति,geographical position,0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1,0-0 1-1,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",संकट मोचन,saviour from trouble,0-0,0-0 1-0 1-1 1-2,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",हम काले हैं तो क्या हुआ दिलवाले हैं -LRB- गुमनाम 1966 -RRB- हास्यगीत,if we are blacks so what we have hearts -lrb- gumnam &#44; 1966 -rrb- &#44; comedy song,0-1 8-9 9-10 10-12 11-13,0-1 1-3 8-9 2-10 3-10 4-10 5-10 6-10 7-10 9-10 10-12 11-13 12-14 12-15 12-16,,0 2 4 5 6 7 8 11
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",प्राथमिक शिक्षा तो प्रायः सार्वजनिक है ।,primary education is often public .,0-0 1-1 3-3 4-4 5-2 6-5,0-0 1-1 5-2 2-3 3-3 4-4 6-5,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार का उपग्रह द्वारा लिया गया चित्र,the satellite picture taken of bihar .,0-5 1-4 2-1 4-3 6-2,1-0 2-1 3-1 6-2 4-3 5-3 1-4 0-5,,6
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसीदास की रचनाएँ,creations of tulsidas .,0-2 1-1,0-0 2-0 1-1 0-2,,3
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",समाज पुरूष प्रधान है और लड़कियों को कड़े नियंत्रण में रखा जाता है ।,community is male dominated and girls are kept under strict control .,0-0 1-2 3-1 4-4 5-5 7-9 8-10 10-7 13-11,0-0 3-1 1-2 2-3 4-4 5-5 11-6 12-6 10-7 11-7 9-8 6-9 7-9 8-10 13-11,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसी सुभाषित - हिन्दी के विकि _ सूक्ति -LRB- विकिकोट् -RRB- पर,tulsi subhashit - hindi sukti -lrb- on sale quote -rrb-,0-0 1-1 2-2 3-3 7-4 8-5 9-8 10-9 11-6,0-0 1-1 2-2 3-3 4-4 5-4 6-4 7-4 8-5 11-6 9-7 9-8 10-9,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",कुआला लंपूर,kualalmpur,0-0,0-0 1-0,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसीदास की रचनाएं,compositions of tulsidas,0-2 1-1 2-0,2-0 1-1 0-2,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",गाँधी नगर दिल्ली प्रीत विहार विवेक विहार वसुंधरा एंक्लेव,gandhi nagar &#44; delhi preet vihar &#44; vivek vihar &#44; vasudhara enclave,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-10 8-11,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-9 7-10 8-11,,2 6
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",भारत के अन्य कई जगहों की तरह क्रिकेट यहाँ भी सर्वाधिक लोकप्रिय है ।,like many other parts of india &#44; cricket is the most popular game here too .,0-5 1-4 2-2 3-1 4-3 7-7 8-13 9-14 10-10 11-11 12-8 13-15,4-0 3-1 2-2 4-3 1-4 0-5 7-7 12-8 5-9 10-10 11-11 8-13 9-14 13-15,6,6 12
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",उन दिनों प्रयाग में माघ मेला था ।,magh mela in allahabad in those days was,3-2 4-0 5-1 6-7,4-0 5-1 3-2 2-3 3-4 0-5 1-6 6-7,7,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इनके परिवार का संगीत से कोई खास सरोकार नहीं था ।,the family was not much concerned with the music .,1-1 3-8 4-6 7-5 8-3 9-2 10-9,0-0 1-1 9-2 8-3 6-4 5-5 6-5 7-5 4-6 2-7 3-8 10-9,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",संवत् १६२८ में वह हनुमानजी की आज्ञा लेकर अयोध्या की ओर चल पड़े ।,in the year 1627 after taking permission from hanumanji &#44; he went towards agra .,1-3 2-0 4-8 10-12 13-14,2-0 0-2 0-3 1-3 1-4 1-5 1-6 7-7 4-8 5-8 3-10 11-11 9-12 10-12 12-13 13-14,6 8,1 9
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",परंतु दिन में वे जितने पद्य रचते रात्रि में वे सब लुप्त हो जाते ।,but whatever poems he composed in the day time disappeared in the night .,0-0 1-7 2-5 7-12 8-10 11-9 14-13,0-0 4-1 5-2 3-3 2-5 1-7 9-9 10-9 11-9 12-9 13-9 8-10 7-12 14-13,6,4 6 8 11
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",औपचारिक रूप से नई दिल्ली भारत की राजधानी है ।,officially new delhi is capital of india,0-0 3-1 4-2 5-6 6-5 7-4 8-3,0-0 1-0 2-0 3-1 4-2 8-3 7-4 6-5 5-6,9,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",वायु सेवा,air service,0-0 1-1,0-0 1-1,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",अक्तूबर-नवंबर में शिशिर काल रहता है जो हल्की ठंड के संग आनंद दायक होता है ।,october-november is early winter period which is pleasant with a little coolness .,0-0 6-5 15-12,0-0 14-1 3-4 6-5 5-6 12-7 10-8 13-9 15-12,1 2 4 7 8 9 11,2 3 10 11
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",हनुमान के द्वारा सूर्य को फल समझना,hanuman understood sun as fruit,0-0 3-2 5-4,0-0 3-2 4-3 5-4 6-4,1 2,1
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",मन रे तू काहे ना धीर धरे -LRB- फिल्म -चित्रलेखा 1964 -RRB- शास्त्रीय संगीत,&amp;apos; man re tu kahe na dheer dhare &amp;apos; &#44; -lrb- film-chitralkha &#44; 1964 -rrb- &#44; classical music,2-3 6-7 7-10 9-11 10-13 11-14 12-16 13-17,1-0 0-1 1-2 1-3 2-3 3-3 3-4 3-5 4-5 5-6 6-7 6-8 6-9 7-10 8-11 9-11 9-12 10-13 11-14 12-16 13-17,,15
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इन्द्रप्रस्थ पांडवों की राजधानी थी ।,indraprasth was the capital of pandavs .,0-0 2-4 3-3 4-1 5-6,0-0 1-0 4-1 2-2 3-3 2-4 1-5 5-6,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",उन्होंने बालक रूप में तुलसीदासजी से कहा-बाबा !,in the form of a child he told tulsidas ji - baba !,0-6 1-5 2-2 3-0 4-8 6-11,3-0 2-2 2-4 1-5 0-6 4-8 6-9 6-10 5-11 6-11 7-11 7-12,,1 3 7
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",3-खादर क्षेत्र इसका विस्तार गंडक से कोसी नदी के क्षेत्र तक सारे उत्तरी बिहार में है ।,3-khadar region spreads from gandak river to kosi river regions of the northern bihar .,0-0 1-1 4-4 5-3 6-7 7-8 8-10 9-9 12-12 13-13 16-14,0-0 2-0 3-0 1-1 0-2 5-3 4-4 10-6 6-7 7-8 9-9 8-10 11-11 12-12 13-13 15-14 16-14,14,5
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",ब्राण्ड बिहार : बिहार का प्रतिनिधि पोर्टल,brand bihar : representative portal of bihar,0-0 1-1 2-2 3-6 4-5 5-3 6-4,0-0 1-1 2-2 5-3 6-4 4-5 3-6,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",विकिपीडिया के मुख्य सर्वर टैम्पा फ्लोरीडा में है अतिरिक्त सर्वर एम्सटर्डम और सियोल में हैं ।,the main server of wikipedia is in tampa &#44; florida and additional servers are in amsterdam and seoul .,0-4 1-3 2-1 3-2 5-7 6-6 7-5 10-15 12-17 15-18,1-0 2-1 3-2 1-3 0-4 7-5 6-6 4-7 5-7 8-8 9-12 10-15 11-16 12-17 13-17 14-17 15-18,,9 10 11 13 14
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",वहाँ श्री नरहरि जी ने तुलसीदास को रामचरित सुनाया ।,there shri narihar ji pronounced ramcharitmanas to tulsidas .,0-0 1-1 2-2 3-3 5-7 9-8,0-0 1-1 2-2 3-3 4-3 2-4 2-5 6-6 5-7 9-8,7 8,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",दिल्ली परिवहन निगम,delhi transport corporation .,0-0 1-1 2-2,0-0 1-1 2-2 2-3,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इस धरा पर जिन सात मनीषियों को अमरत्व का वरदान प्राप्त है उनमें बजरंगबली भी हैं ।,on this earth the 7 people who have the prestige of being miracle &#44; hanuman is one of them,0-1 1-2 2-0 4-4 7-9 8-10 11-15,2-0 0-1 1-2 3-3 4-4 5-5 6-5 5-6 5-7 8-8 7-9 9-9 10-9 8-10 7-11 13-12 11-15 12-16 14-18,15 16,13 14 17
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार सरकार का जालस्थल,website of government of bihar .,0-4 1-2 2-1 3-0,3-0 2-1 1-2 2-3 0-4,,5
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",1970 - खिलौना जानकर तुम तो मेरा दिल तोड़ जाते हो -LRB- फ़िल्म -खिलौना -RRB-,1970 - you break my heart &#44; thinking of it as a toy -lrb- film - khilona -rrb-,0-0 1-15 2-16 11-13 12-14 14-17,0-0 1-1 8-11 3-12 4-12 5-12 6-12 7-12 8-12 9-12 10-12 11-13 12-14 1-15 2-16 13-16 14-17,,2 3 4 5 6 7 8 9 10
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",गीतावली,musical,0-0,0-0,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",मेरे आशीर्वाद से तुम्हारी कविता सामवेद के समान फलवती होगी ।,with my blessings &#44; your poem shall be as fruitful as the sama veda .,0-1 1-2 2-0 8-9 10-14,2-0 0-1 1-2 5-3 3-4 4-5 8-6 9-7 9-8 7-9 8-9 9-9 6-11 10-14,,10 12 13
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",राज की बात कह दूं,shall i tell the truth,4-0,0-0 1-0 2-0 3-0 4-0 4-1 4-2,,3 4
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",1960 - चौदहवीं का चांद हो -LRB- फ़िल्म - चौदहवीं का चांद -RRB- - विजित,1960 - the moon on the 14th -lrb- film - chaudhvi ka chaand -rrb-,0-0 1-1 6-7 7-8 8-9 9-10 11-12,0-0 1-1 3-2 4-3 6-7 7-8 8-9 9-10 9-11 10-11 11-12 12-13,2 5 13 14,4 5 6
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",टीका-टिप्पणी,comments,0-0 0-0 0-0 0-0 0-0 0-0,0-0,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",संवत् ‌ १६०७ की मौनी अमावस्या बुधवारके दिन उनके सामने भगवान् ‌ श्रीराम पुनः प्रकट हुए ।,on mauni dark night of samvat year 1607 on wednesday lord shri ram reappeared in front of him .,3-4 4-1 9-15 16-18,0-0 4-1 5-1 6-1 7-1 5-2 5-3 3-4 1-6 2-7 8-9 10-10 12-11 13-13 9-14 9-15 14-17 16-18,11 15,5 8 12 16
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इसके बाद नौशाद ने रफ़ी को अपने निर्देशन में कई गीत गाने को दिए ।,afterwards naushad gave rafi many songs to sing under his direction,2-1 4-3 6-9 7-10 9-4 10-5,0-0 1-0 2-0 2-1 3-1 2-2 4-3 9-4 10-5 11-5 12-6 11-7 7-8 8-8 6-9 7-10,5 13 14,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",यहाँ उत्तर रेलवे का मुख्यालय भी है ।,the headquarters of northern railways is also here .,0-7 1-3 2-4 3-2 4-1 5-6 6-5 7-8,4-1 3-2 1-3 2-4 6-5 5-6 0-7 7-8,,0
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",एक अन्य छोटी नदी हिंडन नदी पूर्वी दिल्ली को गाजियाबाद से अलग करती है ।,one another small river hindon separated old delhi from ghaziabad,0-0 1-1 2-2 3-3 4-4 7-7 9-9 10-8,0-0 1-1 2-2 3-3 4-4 5-4 6-4 4-5 4-6 7-7 10-8 8-9 9-9,11 12 13 14,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",1973 - हमको तो जान से प्यारी है -LRB- फ़िल्म - नैना -RRB-,1973 - it means more to me than my life -lrb- film - naina -rrb-,0-0 1-1 8-10 9-11 10-12 11-13 12-14,0-0 1-1 2-2 2-3 2-4 4-5 5-7 8-10 9-11 10-12 11-13 12-14,3 6 7,6 8 9
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",फिर ब्रह्माजी ने कहा कि कोई भी शस्त्र इनके अंग को छेद नहीं कर सकता ।,then brahama ji said that no weapon would be able to pierce his organ .,0-0 1-1 3-3 4-4 5-5 7-11 10-10 15-14,0-0 1-1 1-2 2-3 3-3 4-4 5-5 6-6 7-7 11-8 11-9 10-10 7-11 8-11 9-11 8-12 9-13 15-14,12 13 14,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",भगवान ने अपने हाथ से चन्दन लेकर अपने तथा तुलसीदासजी के मस्तक पर लगाया और अंतर्ध्यान हो गये ।,god took his hand sandal on his head and put and end to tulasidassji the attention,0-0 2-2 3-3 5-4 9-13 12-5 14-8,0-0 1-1 2-2 3-3 4-4 5-4 6-4 12-5 11-6 11-7 14-8 15-9 10-12 7-13 8-13 9-13 10-14,13 16 17 18,10 11 15
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार में सबसे पहला / सबसे बड़ा / सबसे छोटा,the first / biggest / smallest in bihar,0-7 1-6 3-1 4-2 6-3 7-4 9-5,2-0 3-1 4-2 5-3 6-3 7-4 8-5 9-5 1-6 0-7,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",1935 में उड़ीसा इससे अलग कर दिया गया ।,orissa was separated from it in 1935 .,0-6 1-5 2-0 7-1 8-7,2-0 7-1 3-2 4-2 5-2 6-2 2-3 3-4 1-5 0-6 8-7,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",श्रेणी : भारत का इतिहास,category : history of india,0-0 1-1 2-4 3-3 4-2 0-0 1-1 2-4 3-3 4-2 0-0 1-1 2-4 3-3 4-2 0-0 1-1 2-4 3-3 4-2 0-0 1-1 2-4 3-3 4-2 0-0 1-1 2-4 3-3 4-2,0-0 1-1 4-2 3-3 2-4,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",मोरोपंत एक मराठी ब्राह्मण थे और मराठा पेशवा बाजीराव की सेवा में थे ।,moropant was a marathi brahmin and was in the service of maratha peshwa bajirao .,0-0 1-2 2-3 3-4 5-5 6-11 7-12 9-10 10-9 11-7 13-14,0-0 0-1 1-2 2-3 3-4 4-4 5-5 12-6 11-7 9-8 10-9 9-10 6-11 7-12 8-12 8-13 13-14,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",सभी उपायुक्त मंडलीय अधिकारी के अधीन होते हैं ।,all the district magistrate are under the state authority .,0-0 2-3 5-5 7-4 8-9,0-0 1-2 1-3 2-3 3-3 6-4 7-4 4-5 5-5 4-6 8-9,,1 7 8
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इसके अतिरिक्त राजू भारतन ने पाया कि 1948 और 1987 के बीच केवल 35000 हिन्दी गाने रिकार्ड हुए ।,in addition rahu bharaten found that between 1948 and 1987 &#44; only 35000 songs were recorded .,1-1 2-3 6-5 7-7 8-8 9-9 11-6 12-11 13-12 18-16,0-0 0-1 1-1 2-2 2-3 3-3 4-3 5-3 5-4 6-5 10-6 11-6 7-7 8-8 9-9 12-11 13-12 14-12 15-12 16-12 17-12 15-13 16-14 16-15 18-16,,10
