Title,Description,Keywords,arabic_name,Answer.comment,Answer.location,Answer.lickert,Approve,Reject
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,,Egypt,4,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,,India,2,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,,india,4,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,,India,4,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,useful to improve arabic language,India,3,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,surely arbic name,India,5,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,,india,5,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,,Egypt,4,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,useful to improve arabic language,India,3,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",????,,India,2,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",?????,,India,2,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",?????,,Egypt,4,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",?????,,Inida,2,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",?????,,india,5,,
Verify Arabic name. ?????? ?? ??? ???? ???? ?? ??? ???? ????? ????????? ???????,This job is to decide if an Arabic nickname is likely to be used.??? ??? ?????? ????? ???????? ??????? ??? ?????? ???? ?? ??? ????.,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"",  ????? ??? ? ??? ? ??? ,??????? ,??????",?????,useful to improve arabic language,India,2,,
