Title,Description,Keywords,verb1,statement1,ppls1,source1,verb2,statement2,ppls2,source2,verb3,statement3,ppls3,source3,Answer.sphere_1,Answer.sphere_2,Answer.sphere_3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing genocide against the indigenous people,28.11517407,basic,requesting,requesting a different nurse,280.2807498,basic,supplying,supplying cash flow to get a new business running,105.123349,expanded,2,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing genocide against the indigenous people,28.11517407,basic,requesting,requesting a different nurse,280.2807498,basic,supplying,supplying cash flow to get a new business running,105.123349,expanded,2,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing genocide against the indigenous people,28.11517407,basic,requesting,requesting a different nurse,280.2807498,basic,supplying,supplying cash flow to get a new business running,105.123349,expanded,2,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide because it hurts many people,120.0602013,expanded,establishing,establishing discipline,322.5925512,basic,flushing,flushing your fish because it's the kind things to do,148.1666251,expanded,2,2,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide because it hurts many people,120.0602013,expanded,establishing,establishing discipline,322.5925512,basic,flushing,flushing your fish because it's the kind things to do,148.1666251,expanded,1,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide because it hurts many people,120.0602013,expanded,establishing,establishing discipline,322.5925512,basic,flushing,flushing your fish because it's the kind things to do,148.1666251,expanded,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing,915.3738853,basic,supplying,supplying a sufficient amount,61.99396542,basic,establishing,establishing boundaries,111.2564888,basic,1,4,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing,915.3738853,basic,supplying,supplying a sufficient amount,61.99396542,basic,establishing,establishing boundaries,111.2564888,basic,4,4,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing,915.3738853,basic,supplying,supplying a sufficient amount,61.99396542,basic,establishing,establishing boundaries,111.2564888,basic,0,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able,727.1958872,basic,separating,separating a group,87.89301296,basic,referring,referring a teenager,276.675322,basic,4,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able,727.1958872,basic,separating,separating a group,87.89301296,basic,referring,referring a teenager,276.675322,basic,4,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able,727.1958872,basic,separating,separating a group,87.89301296,basic,referring,referring a teenager,276.675322,basic,4,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from an event that they are interested in,43.58298344,expanded,requesting,requesting a refund,51.98413327,basic,discounting,discounting darwinian theory because you do not like humans,77.22066246,expanded,0,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from an event that they are interested in,43.58298344,expanded,requesting,requesting a refund,51.98413327,basic,discounting,discounting darwinian theory because you do not like humans,77.22066246,expanded,4,2,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from an event that they are interested in,43.58298344,expanded,requesting,requesting a refund,51.98413327,basic,discounting,discounting darwinian theory because you do not like humans,77.22066246,expanded,1,0,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with your spouse,69.83412183,expanded,defrauding,defrauding people,38.83695841,basic,flushing,flushing when you are done using the urinal,46.63080715,expanded,1,4,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with your spouse,69.83412183,expanded,defrauding,defrauding people,38.83695841,basic,flushing,flushing when you are done using the urinal,46.63080715,expanded,1,2,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with your spouse,69.83412183,expanded,defrauding,defrauding people,38.83695841,basic,flushing,flushing when you are done using the urinal,46.63080715,expanded,1,1,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing your bike if you need one,60.00798601,expanded,discounting,discounting the ideas of others because of their gender,26.30557072,expanded,subjecting,subjecting others,103.5659124,basic,1,2,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing your bike if you need one,60.00798601,expanded,discounting,discounting the ideas of others because of their gender,26.30557072,expanded,subjecting,subjecting others,103.5659124,basic,0,2,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing your bike if you need one,60.00798601,expanded,discounting,discounting the ideas of others because of their gender,26.30557072,expanded,subjecting,subjecting others,103.5659124,basic,0,2,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing good relations,46.47316898,basic,separating,separating a group from sitting together,162.9517852,expanded,masturbating,masturbating for several hours,28.58490988,basic,2,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing good relations,46.47316898,basic,separating,separating a group from sitting together,162.9517852,expanded,masturbating,masturbating for several hours,28.58490988,basic,1,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing good relations,46.47316898,basic,separating,separating a group from sitting together,162.9517852,expanded,masturbating,masturbating for several hours,28.58490988,basic,0,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining help for a harmful addiction,265.8381459,expanded,obtaining,obtaining a lawyer before going to court,42.14984895,expanded,excluding,excluding family members from our children's lives,86.32897637,expanded,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining help for a harmful addiction,265.8381459,expanded,obtaining,obtaining a lawyer before going to court,42.14984895,expanded,excluding,excluding family members from our children's lives,86.32897637,expanded,0,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining help for a harmful addiction,265.8381459,expanded,obtaining,obtaining a lawyer before going to court,42.14984895,expanded,excluding,excluding family members from our children's lives,86.32897637,expanded,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing an event such as the holocaust,75.24748421,basic,considering,considering a career change,37.37554976,basic,sharing,sharing things with your buddies,104.1660809,expanded,2,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing an event such as the holocaust,75.24748421,basic,considering,considering a career change,37.37554976,basic,sharing,sharing things with your buddies,104.1660809,expanded,2,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing an event such as the holocaust,75.24748421,basic,considering,considering a career change,37.37554976,basic,sharing,sharing things with your buddies,104.1660809,expanded,2,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying cash flow,251.567792,basic,separating,separating one work from their personal life,84.19356959,expanded,flushing,flushing,273.8993064,basic,4,0,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying cash flow,251.567792,basic,separating,separating one work from their personal life,84.19356959,expanded,flushing,flushing,273.8993064,basic,4,0,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying cash flow,251.567792,basic,separating,separating one work from their personal life,84.19356959,expanded,flushing,flushing,273.8993064,basic,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",defrauding,defrauding your family into thinking that you are better in regards to your illness,35.57945778,expanded,committing,committing a crime in response to a crime,18.0188977,expanded,purchasing,purchasing your materials before starting a project,85.31880781,expanded,1,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",defrauding,defrauding your family into thinking that you are better in regards to your illness,35.57945778,expanded,committing,committing a crime in response to a crime,18.0188977,expanded,purchasing,purchasing your materials before starting a project,85.31880781,expanded,1,0,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",defrauding,defrauding your family into thinking that you are better in regards to your illness,35.57945778,expanded,committing,committing a crime in response to a crime,18.0188977,expanded,purchasing,purchasing your materials before starting a project,85.31880781,expanded,2,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing real addiction with frivolous remarks about liking a food,674.3801315,expanded,excluding,excluding members for their personal lifestyle,603.9028805,expanded,considering,considering yourself when you were born after 1995,149.8354507,expanded,2,2,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing real addiction with frivolous remarks about liking a food,674.3801315,expanded,excluding,excluding members for their personal lifestyle,603.9028805,expanded,considering,considering yourself when you were born after 1995,149.8354507,expanded,0,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing real addiction with frivolous remarks about liking a food,674.3801315,expanded,excluding,excluding members for their personal lifestyle,603.9028805,expanded,considering,considering yourself when you were born after 1995,149.8354507,expanded,2,2,0
