Title,Action
Abductive Reasoning 11,tasks\Abductive Reasoning 11\template.html
Aductive Pairwise Eval 9,tasks\Aductive Pairwise Eval 9\template.html
advice-qual-feb-13-2020 v0,tasks\advice-qual-feb-13-2020 v0\template.html
An Enriched MT Grammar,tasks\An Enriched MT Grammar\template.html
ANES 2008 open-ended survey,tasks\ANES 2008 open-ended survey\template.html
ANLI Generation Eval - Reflective_ACL_1,tasks\ANLI Generation Eval - Reflective_ACL_1\template.html
Annotate WaNLI 23,tasks\Annotate WaNLI 23\template.html
Annotating Meeting Speech for Extractive Summarization,tasks\Annotating Meeting Speech for Extractive Summarization\template.html
Annotation Rating,tasks\Annotation Rating\template.html
Annotation subj_obj,tasks\Annotation subj_obj\template.html
Arabic Nickname Collection,tasks\Arabic Nickname Collection\template.html
Arabic Nickname Verification,tasks\Arabic Nickname Verification\template.html
Arch - Rel Eval 3,tasks\Arch - Rel Eval 3\template.html
ASSET,tasks\ASSET\template.html
Associate countries and languages with Ethnologue,tasks\Associate countries and languages with Ethnologue\template.html
ATOMIC - Event Sequences 9,tasks\ATOMIC - Event Sequences 9\template.html
ATOMIC - NL Rephrase 16,tasks\ATOMIC - NL Rephrase 16\template.html
ATOMIC - NL Rephrase Eval 10,tasks\ATOMIC - NL Rephrase Eval 10\template.html
ATOMIC - Object Rationale 13,tasks\ATOMIC - Object Rationale 13\template.html
ATOMIC - Required Objects (Sequence) 9,tasks\ATOMIC - Required Objects (Sequence) 9\template.html
ATOMIC - Required Objects 5,tasks\ATOMIC - Required Objects 5\template.html
ATOMIC KB Completion 2.2,tasks\ATOMIC KB Completion 2.2\template.html
ATOMIC Neg Discriminator Eval 25,tasks\ATOMIC Neg Discriminator Eval 25\template.html
ATOMIC Negation Need Want 28,tasks\ATOMIC Negation Need Want 28\template.html
ATOMIC Validate gl,tasks\ATOMIC Validate gl\template.html
atomic_event2event-effects 4,tasks\atomic_event2event-effects 4\template.html
Author In-Group Analysis Phrase Classification 2,tasks\Author In-Group Analysis Phrase Classification 2\template.html
Automatic Detection of Generated Text,tasks\Automatic Detection of Generated Text\template.html
BiSECT Human Evaluation II (2),tasks\BiSECT Human Evaluation II (2)\template.html
BiSECT Multilingual Evaluation,tasks\BiSECT Multilingual Evaluation\template.html
Chatbot Response Quality Evaluation,tasks\Chatbot Response Quality Evaluation\template.html
clarifyD Qualification 1,tasks\clarifyD Qualification 1\template.html
Coherence Evaluation,tasks\Coherence Evaluation\template.html
COMET2020 ATOMIC Inference Vp 5,tasks\COMET2020 ATOMIC Inference Vp 5\template.html
COMET2020 ATOMIC Prag Neg Pilot 10,tasks\COMET2020 ATOMIC Prag Neg Pilot 10\template.html
CommonGen,tasks\CommonGen\template.html
Commongen Evals (RLUE) 2,tasks\Commongen Evals (RLUE) 2\template.html
Commonsense Misinformation Tracking Pilot [cancer data setup] 10,tasks\Commonsense Misinformation Tracking Pilot [cancer data setup] 10\template.html
Commonsense Morality - Class Label Collect 8,tasks\Commonsense Morality - Class Label Collect 8\template.html
Commonsense Morality - Text Label Validate-Collect 17,tasks\Commonsense Morality - Text Label Validate-Collect 17\template.html
Commonsense Morality - Validate Instances 2,tasks\Commonsense Morality - Validate Instances 2\template.html
Commonsense Morality - Verify Action Comprehensible 2,tasks\Commonsense Morality - Verify Action Comprehensible 2\template.html
Commonsense Morality-Text Label Validate-Collect-Extended,tasks\Commonsense Morality-Text Label Validate-Collect-Extended\template.html
CommonsenseQAPlus_Scale_17,tasks\CommonsenseQAPlus_Scale_17\template.html
Compile list of area chairs,tasks\Compile list of area chairs\template.html
Compression HIT,tasks\Compression HIT\template.html
Congressional Bills 5 point,tasks\Congressional Bills 5 point\template.html
Contextual Similarity -- Paraphrase Round,tasks\Contextual Similarity -- Paraphrase Round\template.html
Creating Sentence Paraphrases 8,tasks\Creating Sentence Paraphrases 8\template.html
defeasible inference RUN6 (500),tasks\defeasible inference RUN6 (500)\template.html
Detox_pilot,tasks\Detox_pilot\template.html
DI Rationale Gen. evaluation - single 2,tasks\DI Rationale Gen. evaluation - single 2\template.html
Dialog Human Evaluation 7 DD,tasks\Dialog Human Evaluation 7 DD\template.html
Dialogue rot annotation 2,tasks\Dialogue rot annotation 2\template.html
Dialogue safety (socialchemistry) 5,tasks\Dialogue safety (socialchemistry) 5\template.html
DnD Identify Guidance in DM Text 7,tasks\DnD Identify Guidance in DM Text 7\template.html
Does it Make Sense And Why (semeval2020-task4 A&B),tasks\Does it Make Sense And Why (semeval2020-task4 A&B)\template.html
Does it Make Sense And Why (semeval2020-task4C),tasks\Does it Make Sense And Why (semeval2020-task4C)\template.html
drop_essential_0.4,tasks\drop_essential_0.4\template.html
Duration Range Evaluation 10_07,tasks\Duration Range Evaluation 10_07\template.html
Elicitation Generation,tasks\Elicitation Generation\template.html
Elicitation obj,tasks\Elicitation obj\template.html
Elicitation subj,tasks\Elicitation subj\template.html
Email Formality Annotation,tasks\Email Formality Annotation\template.html
ESNLI Rationale Generation 4,tasks\ESNLI Rationale Generation 4\template.html
ET-dropEssentials0.8,tasks\ET-dropEssentials0.8\template.html
ethics_sbic dialogue 2nd 0,tasks\ethics_sbic dialogue 2nd 0\template.html
Evaluate free-text rationales 10,tasks\Evaluate free-text rationales 10\template.html
Evaluate Questions Defeasibility 5,tasks\Evaluate Questions Defeasibility 5\template.html
Evaluate Questions Step 1 5,tasks\Evaluate Questions Step 1 5\template.html
Evaluate the Quality of Explanations (Relative CommonsenseQA),tasks\Evaluate the Quality of Explanations (Relative CommonsenseQA)\template.html
Evaluate the Quality of Explanations (Relative NLI) 7,tasks\Evaluate the Quality of Explanations (Relative NLI) 7\template.html
Evaluate the Quality of Explanations (Singular Acceptability NLI) 1,tasks\Evaluate the Quality of Explanations (Singular Acceptability NLI) 1\template.html
evaluate_e2e 5,tasks\evaluate_e2e 5\template.html
Explanation Acceptability (CommonsenseQA),tasks\Explanation Acceptability (CommonsenseQA)\template.html
Exploring the Role of Argument Structure in Online Debate Persuasion,tasks\Exploring the Role of Argument Structure in Online Debate Persuasion\template.html
Formalize this,tasks\Formalize this\template.html
Full sentence style annotations,tasks\Full sentence style annotations\template.html
Generics Categories (Definitional),tasks\Generics Categories (Definitional)\template.html
Generics Embodiment Pilot - gpt3-gens grp4 batch2,tasks\Generics Embodiment Pilot - gpt3-gens grp4 batch2\template.html
Generics Eval - comparatives gpt3,tasks\Generics Eval - comparatives gpt3\template.html
Generics Eval - Soft,tasks\Generics Eval - Soft\template.html
Generics Eval - Soft - all dataset eval,tasks\Generics Eval - Soft - all dataset eval\template.html
Goal Distractor - ATOMIC base events 1,tasks\Goal Distractor - ATOMIC base events 1\template.html
Gun violence structured extraction,tasks\Gun violence structured extraction\template.html
Hindi Word Alignment,tasks\Hindi Word Alignment\template.html
HTER - 27 Sep 1859,tasks\HTER - 27 Sep 1859\template.html
HTER - longer sentences -27 Sep 1129,tasks\HTER - longer sentences -27 Sep 1129\template.html
Human evaluation - gentle vs canary,tasks\Human evaluation - gentle vs canary\template.html
Human evaluation - quals,tasks\Human evaluation - quals\template.html
HUSE - WebText — GPT-L — Unconditional — Pure Sampling,tasks\HUSE - WebText — GPT-L — Unconditional — Pure Sampling\template.html
Identify Ukrainian text,tasks\Identify Ukrainian text\template.html
Identify Urdu text,tasks\Identify Urdu text\template.html
Image labeling,tasks\Image labeling\template.html
IMDB Sentiment Completions (RLUE) 5,tasks\IMDB Sentiment Completions (RLUE) 5\template.html
InconsistentMiddles 3,tasks\InconsistentMiddles 3\template.html
intuitive physics 01,tasks\intuitive physics 01\template.html
JiminyCricket-HumanVal-b10,tasks\JiminyCricket-HumanVal-b10\template.html
JJ-NN HIT,tasks\JJ-NN HIT\template.html
Know Your Nyms,tasks\Know Your Nyms\template.html
Lattice,tasks\Lattice\template.html
Local View,tasks\Local View\template.html
mars human eval (a-b testing) 3,tasks\mars human eval (a-b testing) 3\template.html
Mauve human eval v1 2,tasks\Mauve human eval v1 2\template.html
MCN - Multiple Choice testset,tasks\MCN - Multiple Choice testset\template.html
MinimalChangeInconsistentMiddles 10,tasks\MinimalChangeInconsistentMiddles 10\template.html
Missing Adjective FITB,tasks\Missing Adjective FITB\template.html
Multimodal Prompt Caption Eval Clip-fixed 100,tasks\Multimodal Prompt Caption Eval Clip-fixed 100\template.html
"NER - Task scruples 26,200 - 30,922","tasks\NER - Task scruples 26,200 - 30,922\template.html"
neural-pop (PLAN evaluation) t5-human-test b,tasks\neural-pop (PLAN evaluation) t5-human-test b\template.html
Neurologic Recipe Eval 3,tasks\Neurologic Recipe Eval 3\template.html
new accept (dev),tasks\new accept (dev)\template.html
Newsela Complex words,tasks\Newsela Complex words\template.html
newyorker_joke_explain_pairwise 11,tasks\newyorker_joke_explain_pairwise 11\template.html
newyorker_joke_explain_quality 6,tasks\newyorker_joke_explain_quality 6\template.html
NLI for GenGen (neurologic train),tasks\NLI for GenGen (neurologic train)\template.html
Number of sense,tasks\Number of sense\template.html
o+s_test_logicNeg_beam_10,tasks\o+s_test_logicNeg_beam_10\template.html
