Title,Description,Keywords,object_use_id1,object_id1,object1,use_id1,use1,object_use_id2,object_id2,object2,use_id2,use2,object_use_id3,object_id3,object3,use_id3,use3,object_use_id4,object_id4,object4,use_id4,use4,Answer.obj1_category,Answer.obj1_typicality,Answer.obj2_category,Answer.obj2_typicality,Answer.obj3_category,Answer.obj3_typicality,Answer.obj4_category,Answer.obj4_typicality
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",7Y8u0aG7Eatzkr96w5AAxA==,HYAwv8lAHYmnTapVCeuiLw==,gloes,6KFXjBYk0rbhV-44a_5GXw==,use to for work,7YDhyYF5COiyMsqpiyazjQ==,uUrnbCTXXBy7Q-h3uZZFhA==,city funds,ykUTLMPUsJ0S0HpIOnSCMg==,pay government employees,7YLtEgpYm4JFIX8cM-zWJQ==,f99XiHhqyprQv_WuoqtbBg==,initial deposit,CRWnRXC6v6XGNibjx49R7A==,open a bank account,7YRR5b1z3fUOabfyuXx4rA==,JB40b5A1mSnKBXY2ytb7iA==,instant messaging,AwIAtuFqKXcRiULKFL-beQ==,Change color of text,object,typicality_2,other,typicality_3,other,typicality_4,action,typicality_2
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",7Y8u0aG7Eatzkr96w5AAxA==,HYAwv8lAHYmnTapVCeuiLw==,gloes,6KFXjBYk0rbhV-44a_5GXw==,use to for work,7YDhyYF5COiyMsqpiyazjQ==,uUrnbCTXXBy7Q-h3uZZFhA==,city funds,ykUTLMPUsJ0S0HpIOnSCMg==,pay government employees,7YLtEgpYm4JFIX8cM-zWJQ==,f99XiHhqyprQv_WuoqtbBg==,initial deposit,CRWnRXC6v6XGNibjx49R7A==,open a bank account,7YRR5b1z3fUOabfyuXx4rA==,JB40b5A1mSnKBXY2ytb7iA==,instant messaging,AwIAtuFqKXcRiULKFL-beQ==,Change color of text,object,typicality_3,object,typicality_4,object,typicality_3,object,typicality_2
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",9FK5ab8tqkeGs4b17T5J7Q==,CZErfJRgr-hVu_Vb6KR5eA==,car lot,w5dHOshb4VU92lJi1BulIw==,park cars on dealers,9G5dTnZVulRueANnBUy77A==,AeLbcOMjJe02nfEESRRU4A==,stage steps,kb_s7ARWn2gTQooE2sTaCw==,look professional walking to others,9G8yswBfWwjCzOs_p-Qfqw==,4lkyymCdlQqKqHzc4ZDqxg==,oil pan,MvAr9wWH3AH5YJvWtWJkOQ==,use as a cat litter box,9GEbqCIhjUG9J4KQYEQ3Jg==,wjZeh07LhhplnlIV_xfDOA==,notebooks,A3XzqGtwF0ZKLAf8jpPdNQ==,hold and fan oneself with to cool down,object,typicality_3,object,typicality_3,object,typicality_1,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",9FK5ab8tqkeGs4b17T5J7Q==,CZErfJRgr-hVu_Vb6KR5eA==,car lot,w5dHOshb4VU92lJi1BulIw==,park cars on dealers,9G5dTnZVulRueANnBUy77A==,AeLbcOMjJe02nfEESRRU4A==,stage steps,kb_s7ARWn2gTQooE2sTaCw==,look professional walking to others,9G8yswBfWwjCzOs_p-Qfqw==,4lkyymCdlQqKqHzc4ZDqxg==,oil pan,MvAr9wWH3AH5YJvWtWJkOQ==,use as a cat litter box,9GEbqCIhjUG9J4KQYEQ3Jg==,wjZeh07LhhplnlIV_xfDOA==,notebooks,A3XzqGtwF0ZKLAf8jpPdNQ==,hold and fan oneself with to cool down,place,typicality_4,object,typicality_1,object,typicality_3,object,typicality_3
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",GhAh2GzQNpuAi_xXnGi5vA==,5CCU5EzzIBNmq7f_KtgXqA==,diploma,NwI20BMjRca9Qad8U5Qgew==,take from the principal,GhEVKkuxJSgT5IkJhPHoEg==,6w3j5zT5uOpU_6zHO1uytQ==,kitchen appliances,dnYCaltx1OFFrFjniIC_gg==,scam store returns,GhUTrWDGOPDf_09A2rofvw==,q09glA6gqEWWVzpSZFt0dg==,medication bottle,1MbwftLkgn3XG-OURvEkkQ==,reuse for decoration,Ghd916WmbxBdV3_1QIpQCA==,uxQSdniWD66X2HOVDqIBVg==,dart,mw0up8BaloQPhGo6RuwqcQ==,tip with poison and flick at the enemy,object,typicality_4,object,typicality_1,object,typicality_1,object,typicality_3
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",GhAh2GzQNpuAi_xXnGi5vA==,5CCU5EzzIBNmq7f_KtgXqA==,diploma,NwI20BMjRca9Qad8U5Qgew==,take from the principal,GhEVKkuxJSgT5IkJhPHoEg==,6w3j5zT5uOpU_6zHO1uytQ==,kitchen appliances,dnYCaltx1OFFrFjniIC_gg==,scam store returns,GhUTrWDGOPDf_09A2rofvw==,q09glA6gqEWWVzpSZFt0dg==,medication bottle,1MbwftLkgn3XG-OURvEkkQ==,reuse for decoration,Ghd916WmbxBdV3_1QIpQCA==,uxQSdniWD66X2HOVDqIBVg==,dart,mw0up8BaloQPhGo6RuwqcQ==,tip with poison and flick at the enemy,object,typicality_4,object,typicality_1,object,typicality_1,object,typicality_3
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",NO--IkEZkyHqU-vpMPyLTA==,eURmR3StnjUOTbNC78oWeg==,cannister,YnwKcVCI7ZcuXhBHkgIh6A==,hide your money,NOerf_e3CNDNGVwW6HOM3A==,lyYlXuwIOqVtwESaIbMxkA==,money,c_EHLWMqPrb0GuySKW1XCw==,keep the electricity on,NP2r4Na1l_6lgoy6BZBLiA==,dKqjUbDsrhtfgHTbpC-mPw==,climbing apparatus,Cqd4nJyb9eqw6GWT_qG6bw==,show off on camera,NPT0cIiRg-e8oQwqCj1OrA==,PN3lmyLrE-27t99-UbeMmw==,goal net,1p02P8rnB4IDPNI7g-QBvA==,guard,object,typicality_2,object,typicality_4,object,typicality_2,object,typicality_4
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",NO--IkEZkyHqU-vpMPyLTA==,eURmR3StnjUOTbNC78oWeg==,cannister,YnwKcVCI7ZcuXhBHkgIh6A==,hide your money,NOerf_e3CNDNGVwW6HOM3A==,lyYlXuwIOqVtwESaIbMxkA==,money,c_EHLWMqPrb0GuySKW1XCw==,keep the electricity on,NP2r4Na1l_6lgoy6BZBLiA==,dKqjUbDsrhtfgHTbpC-mPw==,climbing apparatus,Cqd4nJyb9eqw6GWT_qG6bw==,show off on camera,NPT0cIiRg-e8oQwqCj1OrA==,PN3lmyLrE-27t99-UbeMmw==,goal net,1p02P8rnB4IDPNI7g-QBvA==,guard,object,typicality_3,object,typicality_4,object,typicality_2,object,typicality_4
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",TgY1dgLClMiJMzNdScVKrw==,_290_kteYRrpso1CUTXA3g==,mechanism,fg3U1eshXFUlpz4WaivK6w==,to fly an airplane,TgZbfal7yPqTEE8FeIt93w==,JPldFmAcH_VGsuXe5ZE-_g==,wet suit,AMCMMSYC7X7IsTPjKVo8Ig==,scare children,Tg_vcWJkZWA2SwaLTeKHfQ==,L25dj9NWaLIhxYCwDIGhKg==,clorox wipes,ZaNa6AYXqhYV1bWdLKLl5Q==,keep bugs away,TgiiR-ASGf8YG_lcjBCAZA==,Cgzi1v2zlcmODGT6ic3ivw==,princess dress,WF-dPmC77k17sm1bFLDBzQ==,make a statement for wearing anywhere,object,typicality_3,object,typicality_1,object,typicality_1,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",TgY1dgLClMiJMzNdScVKrw==,_290_kteYRrpso1CUTXA3g==,mechanism,fg3U1eshXFUlpz4WaivK6w==,to fly an airplane,TgZbfal7yPqTEE8FeIt93w==,JPldFmAcH_VGsuXe5ZE-_g==,wet suit,AMCMMSYC7X7IsTPjKVo8Ig==,scare children,Tg_vcWJkZWA2SwaLTeKHfQ==,L25dj9NWaLIhxYCwDIGhKg==,clorox wipes,ZaNa6AYXqhYV1bWdLKLl5Q==,keep bugs away,TgiiR-ASGf8YG_lcjBCAZA==,Cgzi1v2zlcmODGT6ic3ivw==,princess dress,WF-dPmC77k17sm1bFLDBzQ==,make a statement for wearing anywhere,object,typicality_3,object,typicality_1,object,typicality_2,object,typicality_3
