Title,Description,Keywords,img_id,question,answer,rationale,img_fn,metadata_fn,model_name,NOUN1,NOUN2,NOUN3,NOUN4,NOUN5,NOUN6,NOUN7,NOUN8,NOUN9,NOUNPHRASE1,NOUNPHRASE2,NOUNPHRASE3,NOUNPHRASE4,NOUNPHRASE5,VERB1,VERB2,VERB3,VERB4,VERB5,VERB6,Answer.c0,Answer.c1,Answer.c2,Answer.c3,Answer.c4,Answer.c5,Answer.c6,Answer.commentbox,Answer.q1,Answer.q2,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q3,Approve,Reject
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6485,Why is person1 so close to person2 ?,She is kissing person2,Her face is pressed against his face,movieclips_Just_Married/TKBQuK1988w@15.jpg,movieclips_Just_Married/TKBQuK1988w@15.json,vcr_gold,face,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6485,Why is person1 so close to person2 ?,She is kissing person2,Her face is pressed against his face,movieclips_Just_Married/TKBQuK1988w@15.jpg,movieclips_Just_Married/TKBQuK1988w@15.json,vcr_gold,face,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6485,Why is person1 so close to person2 ?,She is kissing person2,Her face is pressed against his face,movieclips_Just_Married/TKBQuK1988w@15.jpg,movieclips_Just_Married/TKBQuK1988w@15.json,vcr_gold,face,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6435,Is oven1 likely turned on ?,"Yes , oven1 is likely turned on.","There is a dish in oven1 , and people generally turn ovens on when they put dishes in them.",movieclips_Fat_Man_and_Little_Boy/YuuMHvaxXFY@6.jpg,movieclips_Fat_Man_and_Little_Boy/YuuMHvaxXFY@6.json,vcr_gold,oven1,ovens,people,dishes,dish,-,-,-,-,-,-,-,-,-,turn ovens,put dishes,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6435,Is oven1 likely turned on ?,"Yes , oven1 is likely turned on.","There is a dish in oven1 , and people generally turn ovens on when they put dishes in them.",movieclips_Fat_Man_and_Little_Boy/YuuMHvaxXFY@6.jpg,movieclips_Fat_Man_and_Little_Boy/YuuMHvaxXFY@6.json,vcr_gold,oven1,ovens,people,dishes,dish,-,-,-,-,-,-,-,-,-,turn ovens,put dishes,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6435,Is oven1 likely turned on ?,"Yes , oven1 is likely turned on.","There is a dish in oven1 , and people generally turn ovens on when they put dishes in them.",movieclips_Fat_Man_and_Little_Boy/YuuMHvaxXFY@6.jpg,movieclips_Fat_Man_and_Little_Boy/YuuMHvaxXFY@6.json,vcr_gold,oven1,ovens,people,dishes,dish,-,-,-,-,-,-,-,-,-,turn ovens,put dishes,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",7058,How does person1 feel ?,person1 feels upset by person2 's words.,"person1 is looking at person2 with a solemn look , as if to say he is upset with the story.",movieclips_Ash_Wednesday/uHEG_fTDZss@21.jpg,movieclips_Ash_Wednesday/uHEG_fTDZss@21.json,vcr_gold,look,story,-,-,-,-,-,-,-,solemn look,-,-,-,-,-,-,-,-,-,-,yes,w_yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",7058,How does person1 feel ?,person1 feels upset by person2 's words.,"person1 is looking at person2 with a solemn look , as if to say he is upset with the story.",movieclips_Ash_Wednesday/uHEG_fTDZss@21.jpg,movieclips_Ash_Wednesday/uHEG_fTDZss@21.json,vcr_gold,look,story,-,-,-,-,-,-,-,solemn look,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",7058,How does person1 feel ?,person1 feels upset by person2 's words.,"person1 is looking at person2 with a solemn look , as if to say he is upset with the story.",movieclips_Ash_Wednesday/uHEG_fTDZss@21.jpg,movieclips_Ash_Wednesday/uHEG_fTDZss@21.json,vcr_gold,look,story,-,-,-,-,-,-,-,solemn look,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
[BATCH1] Judge if a rationale justifies the answer to a question,"For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",9238,"why are these men person1 , person2 , person3 , person4 , person5 gathered together ?",they are attending a business meeting,"the men are dressed professionally , they appear to be sitting at a long conference table and they have notes in front of them",movieclips_Skyship/VEGSjiQq998@3.jpg,movieclips_Skyship/VEGSjiQq998@3.json,vcr_gold,front,table,notes,men,-,-,-,-,-,long conference table,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
