Title,Description,Keywords,Id1,Event1,Id2,Event2,Id3,Event3,Answer.Event1,Answer.Event2,Answer.Event3,Answer.after1,Answer.after2,Answer.after3,Answer.before1,Answer.before2,Answer.before3,Answer.event-valid1,Answer.event-valid2,Answer.event-valid3
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",N0YveWZ6/tVGqwMonaERDg==,PersonX looks and looked,knqoRPAnkEKWqMjyMlqPAA==,PersonX immediately grabbed,DT+HX67hG9C5ywaSct7gPg==,PersonX breathes easy,PersonX looks and looked,PersonX immediately grabbed,PersonX breathes easy,{},{},X applies for colleges.,{},{},X receives the SAT results and has a good score.,on,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ztBckdq1dySQ8nA83LPBhw==,PersonX changes PersonY's plans,RRVnQGF+hSMg46KeLHJh7w==,PersonX would go,QKT7nHB180Ree1sEYMxe4Q==,PersonX bases upon the principle,PersonX changes PersonY's plans,PersonX would go,PersonX bases upon the principle,continues their other duties.,buys tickets to the concert.,becomes a better person.,is doing secretarial work for PersonY.,sees a concert flyer on a wall.,is learning about philosophy.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",0EFyAQ0svGa37VmsOuIM1w==,PersonX goes PersonY's separate ways,YWnVl2xnzcBL6poOibyOXw==,PersonX suits PersonY's purpose,B62dg34QiHzBbmnoSHbRSQ==,PersonX uses PersonY method,PersonX goes PersonY's separate ways,PersonX suits PersonY's purpose,PersonX uses PersonY method,deletes his friends number out of his phone,walks over to her and gets her number to call her later,gets better at learning french because he adapted a new way,sees that his friend lied to him,wants a nice girl to take to the prom,wants to learn french but can't understand it,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",QG3gGDOLlBEkW6mMg8afRw==,PersonX always wished,Cf+97RefroaRLUz77D5VBQ==,PersonX cranes PersonY's neck,yXwYvbikXl08N2E/hUARCg==,PersonX gets an email,PersonX always wished,PersonX cranes PersonY's neck,PersonX gets an email,got a new car.,receives thanks from PersonY.,reads the email.,made a wish for a new car.,hears PersonY complaining about a bad neck.,logs onto the internet.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",W+qLVxFJ6N61iSI1cgZmLA==,PersonX becomes PersonY end,1L/UiGLGe4AtqK4aQGtWSQ==,PersonX walks inside,jvjj5Le5bjmxbhtqttHyEg==,PersonX wears PersonX's new dress,PersonX becomes PersonY end,PersonX walks inside,PersonX wears PersonX's new dress,walks away from the body.,sits  at the table.,goes out dancing with friends.,points a gun at PersonY.,knocks on the door.,buys a new dress at the store.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",pvRRbVt4eCaFfyLF/MwlYg==,PersonX hears the fire alarm,hTgig5ZECy/10TnbIOqy7w==,PersonX gets dirty,4VZO6z5t3NcG6D9IoM4TGA==,PersonX is in a new city,PersonX hears the fire alarm,PersonX gets dirty,PersonX is in a new city,flees from the building,makes a mess,gets off the plane,starts a fire,knocks over the spaghetti,takes a plane,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",6tsOjGhdW5ZRBXEK/M4Ptg==,PersonX steals PersonY's purse,WTBdgkk7U9aCVN6JdPuaog==,PersonX puts it outside,bR3VLGl8n8EIMhx8Kklf8Q==,PersonX commits within PersonY state,PersonX steals PersonY's purse,PersonX puts it outside,PersonX commits within PersonY state,runs away after stealing purse.,sprays dog with a hose.,{},sees PersonY's purse on a table.,sees dirty dog on couch,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ZkBOYjmy4i4k2MMaVNwUtA==,PersonX invites PersonY's family,036aeszbhO5TucrLFhsZ9w==,PersonX is happy with PersonX's purchase,JP+oRB99BJKgrrEI+JnASw==,PersonX slips and falls,PersonX invites PersonY's family,PersonX is happy with PersonX's purchase,PersonX slips and falls,Y enjoys the proposal and says yes.,X invites friends over to watch tv.,decides to roller-skate instead.,X plans to propose to Person Y,X buys a new tv.,X goes ice skating.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",v/kq4UKrjX0QipsT6HJ/vg==,PersonX says would make,gdNW8IUDX6J3knjhFfZ08w==,PersonX fudges the issue,1RMC22xe9FyryC0jQNuxcQ==,PersonX saves all PersonX's money,PersonX says would make,PersonX fudges the issue,PersonX saves all PersonX's money,{},was not successful,can finally afford a down payment,{},tries to make up with someone,wants a new car,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",oTyyaEBwijbflmMO3o9vuQ==,PersonX goes bowling with PersonX's friends,89rfLI3dY26eTg05ufMcOA==,PersonX starts digging,aMS4++/ByRAYXl3HZn1f+g==,PersonX brushes PersonY's hair,PersonX goes bowling with PersonX's friends,PersonX starts digging,PersonX brushes PersonY's hair,feels loved and happy after a night with friends,plants his plants and has a beautiful garden to look at,is rewarded with a hug for helping out their friend,accepts an invitation to go out for the night,needs to dig a hole for the new plants he has bought,notices PersonY's hair needs to be detangled,,,
