Title,Description,Keywords,text,Answer.comment,Answer.highlights,Answer.submit,Approve,Reject
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000100010000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010011000000000001000000000000000000000000000011000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000001011000000000011000000000000000000000000000010000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000100000000000010001000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000001000000000001000000000000000010000000000010000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000100000000000000000000000000000000000010000010100000000010000000000000000000000010000000000000000100000000000000000000000000000000000000000000000010000000000001000000000000000000000000000010000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000100000000000000000000000000000000000010000000100000000000000010000000000000000000000000000000000100000000000000000000000000000000000000010000000001000000000001000000000000000000000000001001000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000100000000000000001000000000000000010010000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000001000000000000000000000000010011000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000000000000000000001000000000000000000010000010010000000000000010000000000000000000000000000000000100010000000000000000000000000000010000010000001001000000000001000000000000000000000000000001000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000001100000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001010000000000010000000000000000011100000000010000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",The European Space Agency ( ESA ) says it has succeeded in landing a spacecraft on a comet for the first time . Philae &#44; a mobile laboratory the size of a washing machine &#44; landed on comet 67P deep in space . The agency made space exploration history with the landing . Humanity had slammed spacecraft into comets before &#44; but it had never gently landed on one . Scientists launched the mission to better study the makings of comets &#44; which they believe date back to the earliest days of the solar system &#44; in hopes of learning more about their history . Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday &#44; after a decade of being attached to the spacecraft . It took the lander about seven hours to complete its journey toward the comet &#44; which it had been circling for months . The Rosetta probe overcame several potential pitfalls to land on the comet 's surface . Even a minute miscalculation in its speed could have meant missing a safe landing &#44; scientists had no control of steering the probe once it separated &#44; and the operation relied on flawless communication between the two spacecraft &#44; only one of which could send signals to Earth .,,0000000000100000000000000010000000000000000010010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000010000000000000000000000000010010000000000001000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000010010000000000000000000000000010000000000000000000000000000000000000000000000000000001010000000010000000000000000000000100000000000000000000000000001000000000000001000000001000000000000000000000000000000,Submit,,
