Title,Description,Keywords,clip,sent,phrase
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men rush out of the vehicles.,rush
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",1051_Harry_Potter_and_the_goblet_of_fire_01.58.13.486-01.58.19.671,HARRY runs to CEDRIC and helps him to clothe himself.,clothe
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men stagger out of the vehicles.,stagger
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men dash out of the vehicles.,dash
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.12.028-00.34.15.674,"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",dissolves
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men steer out of the vehicles.,steer out
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz runs and then stops.,runs
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz steps out and then stops.,steps out
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men charge of the vehicles.,charge
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.26.099-00.34.29.065,"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",sobbing
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men ride out of the vehicles.,ride out
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something seems below surface.,seems
