Title,Description,Keywords,e1_0,e2_0,relation_0,score_0,gold_triple_idx_0,readable_relation_0,e1_1,e2_1,relation_1,score_1,gold_triple_idx_1,readable_relation_1,e1_2,e2_2,relation_2,score_2,gold_triple_idx_2,readable_relation_2,e1_3,e2_3,relation_3,score_3,gold_triple_idx_3,readable_relation_3,e1_4,e2_4,relation_4,score_4,gold_triple_idx_4,readable_relation_4,e1_5,e2_5,relation_5,score_5,gold_triple_idx_5,readable_relation_5,e1_6,e2_6,relation_6,score_6,gold_triple_idx_6,readable_relation_6,e1_7,e2_7,relation_7,score_7,gold_triple_idx_7,readable_relation_7,e1_8,e2_8,relation_8,score_8,gold_triple_idx_8,readable_relation_8,e1_9,e2_9,relation_9,score_9,gold_triple_idx_9,readable_relation_9
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX flies across the room,none,oEffect,0.94086087,486,effect on others besides PersonX,PersonX flies across the room,x has to update y on the changes in the system,oEffect,0.33180195,486,effect on others besides PersonX,PersonX flies across the room,i breath deeply in relief,oEffect,0.29142573,486,effect on others besides PersonX,PersonX flies across the room,the team is forced to pack up and go home as there are no other balls to play with,oEffect,0.2734066,486,effect on others besides PersonX,PersonX flies across the room,fabric supply stores may send email or other advertisements to PersonX to promote the selling of materials that PersonX needs to buy in order to make clothes,oEffect,0.20801851,486,effect on others besides PersonX,PersonX flies across the room,the taxi driver has to get up from his nap to pick up x,oEffect,0.2053025,486,effect on others besides PersonX,PersonX flies across the room,PersonY's hand flies to their chest and they look for the source of the noise,oEffect,0.1893735,486,effect on others besides PersonX,PersonX flies across the room,gets hurt,oEffect,0.18306231,486,effect on others besides PersonX,PersonX flies across the room,cries,oEffect,0.18129867,486,effect on others besides PersonX,PersonX flies across the room,their life,oEffect,0.16864511,486,effect on others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX keeps PersonY's counsel,helpful,xReact,0.65531915,200,reaction of PersonX,PersonX keeps PersonY's counsel,responsible,xReact,0.49057359,200,reaction of PersonX,PersonX keeps PersonY's counsel,powerful,xReact,0.4883237,200,reaction of PersonX,PersonX keeps PersonY's counsel,protective,xReact,0.4852334,200,reaction of PersonX,PersonX keeps PersonY's counsel,relieved,xReact,0.46438023,200,reaction of PersonX,PersonX keeps PersonY's counsel,good,xReact,0.40301126,200,reaction of PersonX,PersonX keeps PersonY's counsel,accomplished,xReact,0.40120944,200,reaction of PersonX,PersonX keeps PersonY's counsel,satisfied,xReact,0.39460292,200,reaction of PersonX,PersonX keeps PersonY's counsel,each other,xReact,0.35197887,200,reaction of PersonX,PersonX keeps PersonY's counsel,smart,xReact,0.34534532,200,reaction of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX knows  personally,none,oReact,0.6062882,490,reaction of others besides PersonX,PersonX knows  personally,their virginity,oReact,0.29750648,490,reaction of others besides PersonX,PersonX knows  personally,grateful,oReact,0.26941723,490,reaction of others besides PersonX,PersonX knows  personally,noticed,oReact,0.2660901,490,reaction of others besides PersonX,PersonX knows  personally,replies back to mail,oReact,0.2602151,490,reaction of others besides PersonX,PersonX knows  personally,each other,oReact,0.25852266,490,reaction of others besides PersonX,PersonX knows  personally,responds to email,oReact,0.24269472,490,reaction of others besides PersonX,PersonX knows  personally,informed,oReact,0.24212576,490,reaction of others besides PersonX,PersonX knows  personally,the crowd,oReact,0.23428568,490,reaction of others besides PersonX,PersonX knows  personally,her again,oReact,0.21306375,490,reaction of others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX enjoys the concert,go home,xWant,0.4964171,0,PersonX might now want to,PersonX enjoys the concert,to relax,xWant,0.41636255,0,PersonX might now want to,PersonX enjoys the concert,relax,xWant,0.3923318,0,PersonX might now want to,PersonX enjoys the concert,drink water,xWant,0.37979668,0,PersonX might now want to,PersonX enjoys the concert,celebrate,xWant,0.36217007,0,PersonX might now want to,PersonX enjoys the concert,to celebrate,xWant,0.34723964,0,PersonX might now want to,PersonX enjoys the concert,their life,xWant,0.31922743,0,PersonX might now want to,PersonX enjoys the concert,to rest,xWant,0.31069162,0,PersonX might now want to,PersonX enjoys the concert,go to bed,xWant,0.31025073,0,PersonX might now want to,PersonX enjoys the concert,some entertainment so went to the casino,xWant,0.29150105,0,PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX teaches  how to fish,to thank PersonX,oWant,0.76052547,492,others besides PersonX might now want to,PersonX teaches  how to fish,thank PersonX,oWant,0.6595236,492,others besides PersonX might now want to,PersonX teaches  how to fish,to thank him,oWant,0.5461846,492,others besides PersonX might now want to,PersonX teaches  how to fish,to thank person x,oWant,0.50815094,492,others besides PersonX might now want to,PersonX teaches  how to fish,to listen to PersonX,oWant,0.42222536,492,others besides PersonX might now want to,PersonX teaches  how to fish,to understand what PersonX is saying,oWant,0.3958066,492,others besides PersonX might now want to,PersonX teaches  how to fish,thank person x,oWant,0.33892184,492,others besides PersonX might now want to,PersonX teaches  how to fish,to win,oWant,0.32540894,492,others besides PersonX might now want to,PersonX teaches  how to fish,skilled,oWant,0.32504696,492,others besides PersonX might now want to,PersonX teaches  how to fish,to say thank you,oWant,0.3028841,492,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX is n't as bad as PersonY thought,to part ways,oWant,0.32289487,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,i breath deeply in relief,oWant,0.3199738,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,to cry,oWant,0.31669632,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,none,oWant,0.301435,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,to listen to PersonX,oWant,0.29734242,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,to spend time with PersonX,oWant,0.28189456,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,to ignore PersonX,oWant,0.28071025,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,their virginity,oWant,0.26468647,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,thank PersonX,oWant,0.25886855,495,others besides PersonX might now want to,PersonX is n't as bad as PersonY thought,to hope for the best,oWant,0.25243613,495,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX uses PersonY's resources,to thank PersonX,oWant,0.4541187,201,others besides PersonX might now want to,PersonX uses PersonY's resources,thank PersonX,oWant,0.4100133,201,others besides PersonX might now want to,PersonX uses PersonY's resources,i breath deeply in relief,oWant,0.3725881,201,others besides PersonX might now want to,PersonX uses PersonY's resources,each other,oWant,0.27696308,201,others besides PersonX might now want to,PersonX uses PersonY's resources,to thank him,oWant,0.27515462,201,others besides PersonX might now want to,PersonX uses PersonY's resources,go home,oWant,0.24602333,201,others besides PersonX might now want to,PersonX uses PersonY's resources,the team is forced to pack up and go home as there are no other balls to play with,oWant,0.2424699,201,others besides PersonX might now want to,PersonX uses PersonY's resources,to pay PersonX,oWant,0.23824397,201,others besides PersonX might now want to,PersonX uses PersonY's resources,b,oWant,0.2301053,201,others besides PersonX might now want to,PersonX uses PersonY's resources,every moment,oWant,0.2206044,201,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX condemns PersonY to death,goes to jail,xEffect,0.63507175,1,effect on PersonX,PersonX condemns PersonY to death,gets arrested,xEffect,0.5933473,1,effect on PersonX,PersonX condemns PersonY to death,punished,xEffect,0.5222843,1,effect on PersonX,PersonX condemns PersonY to death,is arrested,xEffect,0.41258833,1,effect on PersonX,PersonX condemns PersonY to death,gets punched,xEffect,0.39967808,1,effect on PersonX,PersonX condemns PersonY to death,arrested,xEffect,0.39292386,1,effect on PersonX,PersonX condemns PersonY to death,i breath deeply in relief,xEffect,0.37587798,1,effect on PersonX,PersonX condemns PersonY to death,is yelled at,xEffect,0.37017584,1,effect on PersonX,PersonX condemns PersonY to death,PersonX is yelled at,xEffect,0.36084324,1,effect on PersonX,PersonX condemns PersonY to death,yelled at,xEffect,0.34381947,1,effect on PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX gets a new pair of shoes,good,xReact,0.3855969,202,reaction of PersonX,PersonX gets a new pair of shoes,excited,xReact,0.32226494,202,reaction of PersonX,PersonX gets a new pair of shoes,accomplished,xReact,0.31674823,202,reaction of PersonX,PersonX gets a new pair of shoes,good about themselves,xReact,0.28146908,202,reaction of PersonX,PersonX gets a new pair of shoes,content,xReact,0.2813851,202,reaction of PersonX,PersonX gets a new pair of shoes,helpful,xReact,0.2675947,202,reaction of PersonX,PersonX gets a new pair of shoes,replies back to mail,xReact,0.2646508,202,reaction of PersonX,PersonX gets a new pair of shoes,receives hate mail,xReact,0.24199286,202,reaction of PersonX,PersonX gets a new pair of shoes,their life,xReact,0.23690331,202,reaction of PersonX,PersonX gets a new pair of shoes,their watch back,xReact,0.22263746,202,reaction of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX tells  yes,happy,xReact,0.73262507,2,reaction of PersonX,PersonX tells  yes,accomplished,xReact,0.60273975,2,reaction of PersonX,PersonX tells  yes,helpful,xReact,0.5890896,2,reaction of PersonX,PersonX tells  yes,satisfied,xReact,0.57262254,2,reaction of PersonX,PersonX tells  yes,relieved,xReact,0.56259364,2,reaction of PersonX,PersonX tells  yes,hopeful,xReact,0.5395894,2,reaction of PersonX,PersonX tells  yes,nervous,xReact,0.48166952,2,reaction of PersonX,PersonX tells  yes,confident,xReact,0.4605439,2,reaction of PersonX,PersonX tells  yes,powerful,xReact,0.448451,2,reaction of PersonX,PersonX tells  yes,good,xReact,0.42247084,2,reaction of PersonX
