Title,Description,Keywords,clip,sent,phrase
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz walks and then stops.,walks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE watches through his scope as Stavrou and Harris run outside.,run
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, causing liquid to spurt out.",causing
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping with
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They drag the alien inside.,drag
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",watch
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",climb
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns to
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.50.18.794-00.50.26.732,"In the station, Nantz slices open the alien's chest.",open
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, peering through his rifles.",peering through
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.33.982-00.52.36.658,"At the end of Imlay hall, a door swings slightly.",swings
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out by
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.41.000-00.52.48.147,"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac.",revealing
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One raises his sports drink in a toast.,raises
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee.",raises
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.50.000-00.04.56.050,John eyes Nantz signed request.,signed
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz stares stoically.,stares
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.53.18.541-00.53.21.704,Santos and Nantz grab their gear.,grab
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.54.27.077-00.54.32.904,Martinez wipes his brow with a gloved finger and stares out the windshield.,wipes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John gazes at him.,gazes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.54.45.901-00.54.47.740,Mottola lifts his eyes from his rifle.,lifts
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John gazes at him.,gazes at
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.54.52.212-00.54.57.684,An abrupt stop jostles the passengers.,jostles
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.55.00.500-00.55.03.900,Small alien aircraft fly overhead.,fly
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes flicker to his friend's face.,flicker
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.55.10.000-00.55.16.793,The soldiers and civilians alike duck down between the seats as more alien aircraft pass overhead.,duck down between
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes flicker to his friend's face.,flicker to
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.08.000-00.05.13.492,"John gives him a kind look, then adds his signature to the form.",gives
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.55.21.132-00.55.26.949,"The Marines aim their rifle skyward, Mottola grips his radio.",grips
