Title,Description,Keywords,qID,attr1,attr1_neg,attr1_pos,attr2,attr2_neg,attr2_pos,Answer.answer_value,Answer.objects,Answer.qID
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",401,hardness,hard,soft,thermal conductivity,high,low,0,na,401
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",401,hardness,hard,soft,thermal conductivity,high,low,2,pillow,401
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",401,hardness,hard,soft,thermal conductivity,high,low,2,"metal pot, mushroom",401
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",1,age,new,old,altitude,high,low,2,old bird,1
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",1,age,new,old,altitude,high,low,2,"people, babies and adults",1
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",1,age,new,old,altitude,high,low,3,Trees,1
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",201,complexity,complex,simple,odor,strong,weak,0,"spicy foods, ethnic meals",201
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",201,complexity,complex,simple,odor,strong,weak,2,Spices,201
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",402,hardness,hard,soft,thickness,thick,thin,3,"pillow, board",402
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",402,hardness,hard,soft,thickness,thick,thin,2,snow,402
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",202,complexity,complex,simple,pressure,high,low,3,school test,202
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",404,hardness,hard,soft,weight,heavy,light,2,"baseball, safe, feather",404
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",404,hardness,hard,soft,weight,heavy,light,2,"a big rock, a dump truck",404
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",203,complexity,complex,simple,resistance,high,low,1,heavy gauge electrical wire,203
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",203,complexity,complex,simple,resistance,high,low,2,"woven wire, a board",203
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",405,hardness,hard,soft,width,wide,narrow,1,Rocks,405
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",204,complexity,complex,simple,shape,"sharp, spiky","round, flat",2,"Balls are both simple and round, dishes are simple and flat",204
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",204,complexity,complex,simple,shape,"sharp, spiky","round, flat",2,"Rocks, diamonds",204
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",406,length,long,short,magnitude,large,small,1,rulers and yardsticks,406
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",406,length,long,short,magnitude,large,small,3,"train, car",406
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",205,complexity,complex,simple,size,large,small,3,puzzle,205
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",205,complexity,complex,simple,size,large,small,2,"mansion, bedroom",205
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",205,complexity,complex,simple,size,large,small,2,"small lock, and a large math equation",205
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",407,length,long,short,mass,large,small,2,"things that are long are often bigger, and bigger things often have more mass",407
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",407,length,long,short,mass,large,small,1,"25' rope, 12' rope",407
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",407,length,long,short,mass,large,small,3,"Rocks, anything with uniform mass",407
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",4,age,new,old,clarity,clear,obscure,1,newly cleaned windows are more clear,4
